name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,726,4,287,5,-0.39520547945205453,55.55555555555556,1.7123287671232876,0.056301886115554915
IsNested,730,0,292,0,-0.3999999999999997,0.0,0.0,0.0
HasNestedMethods,698,32,250,42,-0.35205479452054766,56.75675675675676,14.383561643835616,0.17431422414673772
HasFunctions,594,136,186,106,-0.5438356164383558,43.80165289256198,36.3013698630137,0.18778665309869308
IsFunction,673,57,254,38,-0.4910958904109586,40.0,13.013698630136986,0.0809863679980171
HasFunctionParameters,637,93,244,48,-0.615753424657534,34.04255319148936,16.43835616438356,0.048450275320593296
HasHigherOrderCalls,607,123,201,91,-0.5534246575342463,42.523364485981304,31.164383561643838,0.15894018678106028
HasFunctionCalls,652,78,229,63,-0.4719178082191777,44.680851063829785,21.575342465753426,0.1426591439995247
HasCurrying,668,62,252,40,-0.5054794520547943,39.21568627450981,13.698630136986301,0.07845481320645672
HasPatternMatching,588,142,168,124,-0.4863013698630134,46.616541353383454,42.465753424657535,0.23693955110363696
HasLazyValues,719,11,283,9,-0.4095890410958902,45.0,3.0821917808219177,0.051378210935008585
HasMultipleParameterLists,689,41,263,29,-0.45753424657534225,41.42857142857143,9.931506849315069,0.07717436331412897
FunctionalScoreBool,581,149,177,115,-0.5630136986301366,43.56060606060606,39.38356164383562,0.19581375821012567
HasVariables,670,60,248,44,-0.4767123287671231,42.30769230769231,15.068493150684931,0.10234390641439056
HasVariableDefinitions,714,16,275,17,-0.39520547945205453,51.515151515151516,5.821917808219178,0.0927728191215867
HasInnerVariableAssignment,711,19,267,25,-0.3712328767123285,56.81818181818182,8.561643835616438,0.13262441674690514
HasOuterVariableUsage,682,48,261,31,-0.48150684931506826,39.24050632911392,10.616438356164384,0.06835694099899618
HasOuterVariableAssignment,691,39,271,21,-0.4863013698630134,35.0,7.191780821917808,0.03553862353825431
HasSideEffects,554,176,153,139,-0.5773972602739723,44.12698412698413,47.6027397260274,0.22984186461189535
IsSideEffect,620,110,218,74,-0.5726027397260272,40.21739130434783,25.34246575342466,0.12079816530777528
HasSideEffectCalls,591,139,163,129,-0.4479452054794517,48.134328358208954,44.178082191780824,0.25817429175538303
HasSideEffectFunctions,704,26,246,46,-0.30410958904109564,63.888888888888886,15.753424657534246,0.2152246208659701
ImperativeScoreBool,601,129,180,112,-0.48150684931506826,46.47302904564315,38.35616438356164,0.22012679212822497
HasPointsBool,612,118,184,108,-0.4479452054794517,47.78761061946903,36.986301369863014,0.22665370891873957
ParadigmScoreBool,375,355,139,153,-1.3684931506849312,30.118110236220474,52.3972602739726,0.03403684319153725
