name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1040,5,1498,19,-1.4290487710256645,79.16666666666666,1.2524719841793013,0.03948591418912578
IsNested,1045,0,1514,3,-1.4468262404077552,100.0,0.1977587343441002,0.028417825245342285
HasNestedMethods,1029,16,1417,100,-1.31591942041236,86.20689655172413,6.591957811470007,0.11962385923326682
HasFunctions,704,341,681,836,-0.6516885189542443,71.02803738317756,55.10876730388925,0.22165615859324656
IsFunction,1024,21,1449,68,-1.3757163628793925,76.40449438202246,4.482531311799605,0.06636839351940838
HasFunctionParameters,992,53,1355,162,-1.2755160809076087,75.34883720930232,10.67897165458141,0.09938510709629746
HasHigherOrderCalls,735,310,711,806,-0.6500723853740542,72.22222222222221,53.13117996044825,0.23258181777535736
HasFunctionCalls,988,57,1374,143,-1.31268715325198,71.5,9.426499670402109,0.07276126232119007
HasCurrying,933,112,1353,164,-1.3676356949784423,59.42028985507246,10.81081081081081,0.0014758518628708967
HasPatternMatching,905,140,894,623,-0.671082121916525,81.65137614678899,41.06789716545814,0.2973680450655338
HasLazyValues,1020,25,1376,141,-1.2642031458462784,84.93975903614458,9.294660514172708,0.13779971645622263
HasMultipleParameterLists,930,115,1028,489,-0.847240682157242,80.96026490066225,32.234673698088336,0.2457954539471248
FunctionalScoreBool,827,218,751,766,-0.566033439204171,77.84552845528455,50.49439683586026,0.29941789142472797
HasVariables,919,126,1331,186,-1.3547066263369216,59.61538461538461,12.261041529334213,0.003059947916275032
HasVariableDefinitions,936,109,1357,160,-1.3692518285586321,59.479553903345725,10.54713249835201,0.0018678319179569135
HasInnerVariableAssignment,111,934,167,1350,-0.7793630717892592,59.106830122591944,88.99143045484509,-0.006107976722084914
HasOuterVariableUsage,923,122,1342,175,-1.366019561398252,58.92255892255892,11.535926170072512,-0.0021294231241423315
HasOuterVariableAssignment,627,418,919,598,-1.160770596714114,58.85826771653543,39.41990771259064,-0.005827689818873712
HasSideEffects,962,83,1324,193,-1.2738999473274184,69.92753623188406,12.722478576137114,0.07576639502518924
IsSideEffect,991,54,1424,93,-1.3886454315209131,63.26530612244898,6.130520764667106,0.02035098972686341
HasSideEffectCalls,989,56,1404,113,-1.359555027077492,66.86390532544378,7.448912326961107,0.0413804418140974
HasSideEffectFunctions,1032,13,1473,44,-1.4015745001624333,77.19298245614034,2.900461437046803,0.05519324832405583
ImperativeScoreBool,960,85,1317,200,-1.2658192794264682,70.17543859649122,13.183915622940013,0.07892845122374635
HasPointsBool,849,196,817,700,-0.6371433167325338,78.125,46.14370468029005,0.28223792593684816
ParadigmScoreBool,886,159,890,627,-0.6953241256193761,79.77099236641222,41.33157547791694,0.2783102746027932
