name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1487,69,91,31,-0.41430317333220956,31.0,25.40983606557377,0.2300600612928838
IsNested,1556,0,122,0,-0.07840616966580982,0.0,0.0,0.0
HasNestedMethods,1459,97,65,57,-0.4319819629988624,37.01298701298701,46.72131147540984,0.36412586009318043
HasFunctions,1462,94,64,58,-0.39662438366555697,38.15789473684211,47.540983606557376,0.3754327927248738
IsFunction,1450,106,101,21,-0.8297547304985462,16.535433070866144,17.21311475409836,0.10210398003392211
HasFunctionParameters,1433,123,79,43,-0.7855577563319147,25.903614457831324,35.24590163934426,0.23777678032007404
HasHigherOrderCalls,1475,81,69,53,-0.3259092249989466,39.55223880597015,43.44262295081967,0.36626220489824973
HasFunctionCalls,1470,86,80,42,-0.46733954233216757,32.8125,34.42622950819672,0.2826833684346173
HasCurrying,1506,50,95,27,-0.2817122508323151,35.064935064935064,22.131147540983605,0.23475446010328657
HasPatternMatching,1488,68,69,53,-0.2109970921657045,43.80165289256198,43.44262295081967,0.39220966048188877
HasLazyValues,1392,164,111,11,-1.4308335791647355,6.2857142857142865,9.01639344262295,-0.01294240727887511
HasMultipleParameterLists,1500,56,78,44,-0.1844789076657256,44.0,36.0655737704918,0.35609678280182366
FunctionalScoreBool,1468,88,64,58,-0.3435880146655992,39.726027397260275,47.540983606557376,0.3858710131861122
HasVariables,1461,95,83,39,-0.5734122803320831,29.1044776119403,31.967213114754102,0.2477237578496497
HasVariableDefinitions,1509,47,86,36,-0.1756395128323993,43.373493975903614,29.508196721311474,0.3171819334808143
HasInnerVariableAssignment,1470,86,83,39,-0.49385772683214646,31.2,31.967213114754102,0.26146228682219813
HasOuterVariableUsage,1494,62,105,17,-0.47617893716549387,21.518987341772153,13.934426229508196,0.12197293798849772
HasOuterVariableAssignment,1239,317,100,22,-2.6860276454970715,6.489675516224189,18.0327868852459,-0.015132256873844067
HasSideEffects,1476,80,74,48,-0.3612668043322518,37.5,39.34426229508197,0.3345618983908646
IsSideEffect,1448,108,100,22,-0.8385941253318725,16.923076923076923,18.0327868852459,0.10772934168150432
HasSideEffectCalls,1357,199,62,60,-1.307082051498167,23.166023166023166,49.18032786885246,0.2615405971277529
HasSideEffectFunctions,1493,63,87,35,-0.3259092249989466,35.714285714285715,28.688524590163933,0.2728212650167793
ImperativeScoreBool,1430,126,68,54,-0.7148425976653041,30.0,44.26229508196721,0.3034424407108059
HasPointsBool,1457,99,62,60,-0.42314256816553586,37.735849056603776,49.18032786885246,0.3796052589811797
ParadigmScoreBool,1467,89,68,54,-0.38778498883223067,37.76223776223776,44.26229508196721,0.35842838252424025
