name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1356,5226,1370,5204,-1.0054735296464061,49.894534995206136,79.16032856708244,-0.002936442423195184
IsNested,6582,0,6553,21,-0.9923996421729682,100.0,0.31944021904472164,0.040009092245591155
HasNestedMethods,6442,140,5945,629,-0.8501070994388085,81.79453836150844,9.56799513233952,0.15859073357935521
HasFunctions,5744,838,3879,2695,-0.4341750514466489,76.28078120577413,40.99482811073928,0.31885047598669236
IsFunction,6245,337,6174,400,-0.9796297985942615,54.27408412483039,6.084575600851841,0.020972106696376353
HasFunctionParameters,6238,344,5593,981,-0.8051086030186041,74.0377358490566,14.922421661089139,0.16109045977562264
HasHigherOrderCalls,5177,1405,3045,3529,-0.3529953315534424,71.52411836238346,53.68116823851536,0.33394836651005294
HasFunctionCalls,6284,298,5667,907,-0.8136218320710751,75.26970954356847,13.79677517493155,0.1606733885618871
HasCurrying,262,6320,149,6425,-0.9668599550155548,50.4119262455865,97.73349558868269,0.04926359404509625
HasPatternMatching,5738,844,3162,3412,-0.21799984229282932,80.16917293233082,51.9014298752662,0.4176733317633935
HasLazyValues,6421,161,5494,1080,-0.7193682247044308,87.02659145850122,16.42835412229997,0.23918787038476583
HasMultipleParameterLists,6012,570,4026,2548,-0.3973857401841847,81.71905067350866,38.75874657742622,0.35390020252142884
FunctionalScoreBool,5592,990,2968,3606,-0.20340573534573592,78.45953002610966,54.85244904167934,0.41751747072066075
HasVariables,6515,67,6374,200,-0.9583467259630838,74.90636704119851,3.0422878004259206,0.07178212638316306
HasVariableDefinitions,6573,9,6512,62,-0.9826702375415726,87.32394366197182,0.9431092181320353,0.055031778411330015
HasInnerVariableAssignment,6548,34,6477,97,-0.9796297985942615,74.04580152671755,1.4755095832065714,0.04829085632369051
HasOuterVariableUsage,6523,59,6424,150,-0.9711165695417905,71.77033492822966,2.2817158503194404,0.05539746179631867
HasOuterVariableAssignment,6540,42,6465,109,-0.9784136230153371,72.18543046357617,1.6580468512321267,0.047876898577316564
HasSideEffects,6211,371,5405,1169,-0.7561575359668953,75.9090909090909,17.782172193489505,0.1888963891875231
IsSideEffect,6320,262,5964,610,-0.8929772885958949,69.95412844036697,9.278977791299056,0.10649087970406099
HasSideEffectCalls,6373,209,5856,718,-0.8440262215441863,77.45415318230853,10.921813203529055,0.15134330742898616
HasSideEffectFunctions,6525,57,6251,323,-0.917908887963846,85.0,4.913294797687861,0.1208285526736611
ImperativeScoreBool,6205,377,5352,1222,-0.7418674729145329,76.42276422764228,18.58837846060237,0.19679291157723178
HasPointsBool,5358,1224,2696,3878,-0.19185206734595384,76.0094080752646,58.98996045025859,0.41450745177256426
ParadigmScoreBool,5517,1065,2980,3594,-0.22985755418734266,77.14101738570508,54.66991177365379,0.4023981596590596
