name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,2148,61,641,52,-0.33077786857777824,46.017699115044245,7.503607503607504,0.10451503142257056
IsNested,2,2207,0,693,-3.18379879765122,23.896551724137932,100.0,0.01470905453846247
HasNestedMethods,1983,226,429,264,-0.2416802050120297,53.87755102040816,38.095238095238095,0.3171224035722479
HasFunctions,1927,282,327,366,-0.15447823641576486,56.481481481481474,52.81385281385281,0.40999608907869084
IsFunction,2196,13,687,6,-0.32698647863881036,31.57894736842105,0.8658008658008658,0.014659329196641329
HasFunctionParameters,2036,173,505,188,-0.2852811893101619,52.07756232686981,27.12842712842713,0.24928405056296934
HasHigherOrderCalls,1959,250,348,345,-0.13362559175144084,57.98319327731093,49.78354978354979,0.4062202898033469
HasFunctionCalls,2014,195,449,244,-0.22082756034770545,55.58086560364465,35.20923520923521,0.313908427250406
HasCurrying,2202,7,673,20,-0.28907257924913,74.07407407407408,2.886002886002886,0.11409001102908327
HasPatternMatching,2001,208,385,308,-0.1241471169040207,59.68992248062015,44.44444444444444,0.3905934371574527
HasLazyValues,2131,78,540,153,-0.171539491141121,66.23376623376623,22.07792207792208,0.2921414402712378
HasMultipleParameterLists,2052,157,557,136,-0.3535262082115864,46.41638225255973,19.624819624819626,0.17713823379668805
FunctionalScoreBool,1930,279,332,361,-0.15826962635473296,56.40625,52.09235209235209,0.4057976344371948
HasVariables,2037,172,479,214,-0.23409742513409348,55.44041450777202,30.88023088023088,0.2899431329227422
HasVariableDefinitions,2133,76,610,83,-0.3004467490660341,52.20125786163522,11.976911976911978,0.1599299720123769
HasInnerVariableAssignment,2127,82,617,76,-0.3250907836693262,48.10126582278481,10.966810966810966,0.13632163176144563
HasOuterVariableUsage,2113,96,515,178,-0.15826962635473296,64.96350364963503,25.685425685425685,0.31114450338836
HasOuterVariableAssignment,2134,75,585,108,-0.2511586798594496,59.01639344262295,15.584415584415584,0.21380114820421553
HasSideEffects,1953,256,338,355,-0.12604281187350463,58.10147299509002,51.22655122655123,0.41451346510752307
IsSideEffect,1885,324,359,334,-0.29475966415758204,50.75987841945289,48.1962481962482,0.341397563422747
HasSideEffectCalls,1776,433,287,406,-0.3649003780284905,48.39094159713945,58.58585858585859,0.3666256357715073
HasSideEffectFunctions,2054,155,489,204,-0.22082756034770545,56.824512534818936,29.43722943722944,0.2903280336581465
ImperativeScoreBool,1961,248,339,354,-0.1127729470871166,58.80398671096345,51.082251082251084,0.419073352493236
HasPointsBool,1905,304,284,409,-0.11466864205660054,57.3632538569425,59.01875901875901,0.44820985344908315
ParadigmScoreBool,1951,258,422,271,-0.28907257924913,51.22873345935728,39.105339105339105,0.3028641054548111
