name,count,mean,std,min,25%,50%,75%,max
CountRecursiveCalls,3385,0.008567208271787297,0.14662429973202004,0.0,0.0,0.0,0.0,7.0
CountNestedDepth,3385,0.04283604135893648,0.22856628252904065,0.0,0.0,0.0,0.0,3.0
CountNestedMethods,3385,0.10103397341211226,0.5938630148989263,0.0,0.0,0.0,0.0,12.0
CountFunctions,3385,0.6803545051698671,1.6262968615396851,0.0,0.0,0.0,1.0,21.0
IsFunction,3385,0.024815361890694238,0.15558505993523636,0.0,0.0,0.0,0.0,1.0
CountFunctionParameters,3385,0.11580502215657312,0.4026377388343322,0.0,0.0,0.0,0.0,6.0
CountHigherOrderCalls,3385,0.3288035450516987,0.8736762452692258,0.0,0.0,0.0,0.0,15.0
CountFunctionCalls,3385,0.0499261447562777,0.2742723456765036,0.0,0.0,0.0,0.0,4.0
CountCurrying,3385,0.01772525849335303,0.162115597793626,0.0,0.0,0.0,0.0,3.0
CountPatternMatching,3385,0.31432791728212706,1.3383720280933562,0.0,0.0,0.0,0.0,39.0
CountLazyValues,3385,0.6859675036927622,15.77515612178924,0.0,0.0,0.0,0.0,500.0
CountParameterLists,3385,0.24638109305760708,0.5232530792888063,0.0,0.0,0.0,0.0,3.0
FunctionalScoreCount,3385,2.616543574593796,16.164091642185422,0.0,0.0,0.0,3.0,500.0
CountVariables,3385,0.17488921713441655,2.0204674914485468,0.0,0.0,0.0,0.0,63.0
CountVariableDefinitions,3385,0.01772525849335303,0.28190948265301863,0.0,0.0,0.0,0.0,9.0
CountInnerVariableAssignment,3385,0.04106351550960118,0.5395942820007588,0.0,0.0,0.0,0.0,15.0
CountOuterVariableUsage,3385,0.04076809453471197,0.4205050165671254,0.0,0.0,0.0,0.0,11.0
CountOuterVariableAssignment,3385,0.012407680945347119,0.1679726117143513,0.0,0.0,0.0,0.0,5.0
CountSideEffects,3385,0.24549483013293943,1.8181994474049643,0.0,0.0,0.0,0.0,39.0
IsSideEffect,3385,0.012703101920236336,0.11200642529672464,0.0,0.0,0.0,0.0,1.0
CountSideEffectCalls,3385,0.10487444608567208,0.7488702230724568,0.0,0.0,0.0,0.0,16.0
CountSideEffectFunctions,3385,0.002363367799113737,0.048564174408053815,0.0,0.0,0.0,0.0,1.0
ImperativeScoreCount,3385,0.6522895125553915,5.280650278419204,0.0,0.0,0.0,0.0,142.0
HasPointsCount,3385,0.5031019202363368,0.500064248188217,0.0,0.0,1.0,1.0,1.0
ParadigmScoreCount,3385,0.4342688330871492,0.5280614933033657,-1.0,0.0,0.0,1.0,1.0
