name,count,mean,std,min,25%,50%,75%,max
CountRecursiveCalls,4038,0.007677067855373947,0.13789350061599417,0.0,0.0,0.0,0.0,7.0
CountNestedDepth,4038,0.05274888558692422,0.24471854355780584,0.0,0.0,0.0,0.0,3.0
CountNestedMethods,4038,0.10574541852402179,0.593050060376007,0.0,0.0,0.0,0.0,12.0
CountFunctions,4038,0.6277860326894502,1.5557959274373048,0.0,0.0,0.0,1.0,21.0
IsFunction,4038,0.02105002476473502,0.1435688884671517,0.0,0.0,0.0,0.0,1.0
CountFunctionParameters,4038,0.10747894997523527,0.3833783749479053,0.0,0.0,0.0,0.0,5.0
CountHigherOrderCalls,4038,0.312778603268945,0.8669131591925746,0.0,0.0,0.0,0.0,15.0
CountFunctionCalls,4038,0.04408122833085686,0.2567655473114204,0.0,0.0,0.0,0.0,4.0
CountCurrying,4038,0.014858841010401188,0.14856965593684052,0.0,0.0,0.0,0.0,3.0
CountPatternMatching,4038,0.3717186726102031,1.565279256540814,0.0,0.0,0.0,0.0,39.0
CountLazyValues,4038,0.02204061416542843,0.15976077091553914,0.0,0.0,0.0,0.0,3.0
CountParameterLists,4038,0.2315502724120852,0.5091436649529422,0.0,0.0,0.0,0.0,3.0
FunctionalScoreCount,4038,1.9195146111936603,3.8622825142173056,0.0,0.0,0.0,2.0,60.0
CountVariables,4038,0.17161961367013373,2.246185085457173,0.0,0.0,0.0,0.0,63.0
CountVariableDefinitions,4038,0.023031203566121844,0.342244155818375,0.0,0.0,0.0,0.0,9.0
CountInnerVariableAssignment,4038,0.04655770183259039,0.6250582637307539,0.0,0.0,0.0,0.0,15.0
CountOuterVariableUsage,4038,0.020802377414561663,0.33023385184281595,0.0,0.0,0.0,0.0,11.0
CountOuterVariableAssignment,4038,0.006191183754333828,0.13975208986021764,0.0,0.0,0.0,0.0,5.0
CountSideEffects,4038,0.22758791480931154,1.9163744763451243,0.0,0.0,0.0,0.0,39.0
IsSideEffect,4038,0.011144130757800892,0.10498889866164399,0.0,0.0,0.0,0.0,1.0
CountSideEffectCalls,4038,0.10128776622090144,0.8104429416122038,0.0,0.0,0.0,0.0,16.0
CountSideEffectFunctions,4038,0.0032194155522535907,0.0720521712522972,0.0,0.0,0.0,0.0,2.0
ImperativeScoreCount,4038,0.611441307578009,5.84443171478277,0.0,0.0,0.0,0.0,142.0
HasPointsCount,4038,0.5052005943536404,0.5000348730763068,0.0,0.0,1.0,1.0,1.0
ParadigmScoreCount,4038,0.4482417038137692,0.5245242760348412,-1.0,0.0,0.0,1.0,1.0
