name,count,mean,std,min,25%,50%,75%,max
CountRecursiveCalls,2902,0.01527885877358817,0.13198282117905738,0.0,0.0,0.0,0.0,5.0
CountNestedDepth,2902,0.0005168849069607167,0.02075135271037592,0.0,0.0,0.0,0.0,1.0
CountNestedMethods,2902,0.09276354755942468,0.39650178473075637,0.0,0.0,0.0,0.0,9.0
CountFunctions,2902,0.5643821980151804,1.1088043027061314,0.0,0.0,0.0,0.8295454545454546,19.0
IsFunction,2902,0.0016819846538008241,0.03004004168405955,0.0,0.0,0.0,0.0,1.0
CountFunctionParameters,2902,0.06057013011867101,0.23050782593984773,0.0,0.0,0.0,0.0,3.0
CountHigherOrderCalls,2902,0.3860324475669841,0.7973741197836697,0.0,0.0,0.0,0.5,18.0
CountFunctionCalls,2902,0.06934737434542565,0.25911646347143047,0.0,0.0,0.0,0.0,3.0
CountCurrying,2902,0.002679092002484858,0.04960173511700564,0.0,0.0,0.0,0.0,2.0
CountPatternMatching,2902,0.3169883784229899,0.6240492946121886,0.0,0.0,0.0,0.5,11.0
CountLazyValues,2902,0.03707322543795616,0.19221921270524542,0.0,0.0,0.0,0.0,3.0
CountParameterLists,2902,0.043258829638468436,0.16960349479565076,0.0,0.0,0.0,0.0,2.0
FunctionalScoreCount,2902,1.590572951441935,2.72391056831088,0.0,0.0,0.4,2.0,57.0
CountVariables,2902,0.1913330978215369,0.8967494547510226,0.0,0.0,0.0,0.0,22.0
CountVariableDefinitions,2902,0.019316503520416844,0.1227962184969732,0.0,0.0,0.0,0.0,2.0
CountInnerVariableAssignment,2902,0.027362180962578385,0.191286544539614,0.0,0.0,0.0,0.0,6.0
CountOuterVariableUsage,2902,0.06610071552228888,0.45996093797379617,0.0,0.0,0.0,0.0,20.0
CountOuterVariableAssignment,2902,0.0165490844381002,0.0916567414866165,0.0,0.0,0.0,0.0,2.0
CountSideEffects,2902,0.8200048977404518,1.9335976910447,0.0,0.0,0.0,0.8994897959183674,33.0
IsSideEffect,2902,0.10946663363650967,0.25811281662778157,0.0,0.0,0.0,0.0,1.0
CountSideEffectCalls,2902,0.2818749982350973,0.8121599790894849,0.0,0.0,0.0,0.2,18.0
CountSideEffectFunctions,2902,0.04348546136085507,0.18824234035409565,0.0,0.0,0.0,0.0,4.0
ImperativeScoreCount,2902,1.5754935732378355,3.879461163940721,0.0,0.0,0.0,1.6,96.0
HasPointsCount,2902,0.4735330817445743,0.4246998690230338,0.0,0.0,0.5,1.0,1.0
ParadigmScoreCount,2902,0.15648492444053658,0.46571176035146267,-1.0,0.0,0.0,0.4210526315789473,1.0
