name,count,mean,std,min,25%,50%,75%,max
CountRecursiveCalls,1168,0.12585616438356165,0.9387858591389786,0.0,0.0,0.0,0.0,26.0
CountNestedDepth,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountNestedMethods,1168,0.1875,0.6623278906931671,0.0,0.0,0.0,0.0,7.0
CountFunctions,1168,1.1900684931506849,2.9989722310493674,0.0,0.0,0.0,1.0,49.0
IsFunction,1168,0.00684931506849315,0.08251200468060035,0.0,0.0,0.0,0.0,1.0
CountFunctionParameters,1168,0.09075342465753425,0.3184960063677956,0.0,0.0,0.0,0.0,3.0
CountHigherOrderCalls,1168,0.9511986301369864,2.5093173967638696,0.0,0.0,0.0,1.0,46.0
CountFunctionCalls,1168,0.09246575342465753,0.3609158333429173,0.0,0.0,0.0,0.0,5.0
CountCurrying,1168,0.008561643835616438,0.09217166448565645,0.0,0.0,0.0,0.0,1.0
CountPatternMatching,1168,0.797945205479452,2.1206769764555933,0.0,0.0,0.0,1.0,40.0
CountLazyValues,1168,0.1190068493150685,0.5557659497215709,0.0,0.0,0.0,0.0,8.0
CountParameterLists,1168,0.2106164383561644,0.4441260504935271,0.0,0.0,0.0,0.0,2.0
FunctionalScoreCount,1168,3.4503424657534247,7.663953165136534,0.0,0.0,1.0,4.0,105.0
CountVariables,1168,0.660958904109589,2.9330927677550083,0.0,0.0,0.0,0.0,44.0
CountVariableDefinitions,1168,0.06592465753424658,0.33366367697353705,0.0,0.0,0.0,0.0,4.0
CountInnerVariableAssignment,1168,0.08647260273972603,0.6142176296658759,0.0,0.0,0.0,0.0,13.0
CountOuterVariableUsage,1168,0.24143835616438356,1.2210361199148776,0.0,0.0,0.0,0.0,20.0
CountOuterVariableAssignment,1168,0.14982876712328766,0.6283641018699082,0.0,0.0,0.0,0.0,7.0
CountSideEffects,1168,2.581335616438356,7.936674880238993,0.0,0.0,0.0,2.0,146.0
IsSideEffect,1168,0.17123287671232876,0.3768736962316974,0.0,0.0,0.0,0.0,1.0
CountSideEffectCalls,1168,1.3287671232876712,5.172744587530897,0.0,0.0,0.0,1.0,125.0
CountSideEffectFunctions,1168,0.15325342465753425,0.5981746276497625,0.0,0.0,0.0,0.0,6.0
ImperativeScoreCount,1168,5.176369863013699,15.62098394820398,0.0,0.0,0.0,4.0,279.0
HasPointsCount,1168,0.5898972602739726,0.4920627826468741,0.0,0.0,1.0,1.0,1.0
ParadigmScoreCount,1168,0.3416095890410959,0.5481899591738157,-1.0,0.0,0.0,1.0,1.0
