name,count,mean,std,min,25%,50%,75%,max
CountRecursiveCalls,1022,0.019569471624266144,0.3364977927308696,0.0,0.0,0.0,0.0,10.0
CountNestedDepth,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountNestedMethods,1022,0.19667318982387474,0.991377462972366,0.0,0.0,0.0,0.0,13.0
CountFunctions,1022,3.646771037181996,8.723833652634974,0.0,0.0,1.0,3.0,112.0
IsFunction,1022,0.20156555772994128,0.9577139238565509,0.0,0.0,0.0,0.0,20.0
CountFunctionParameters,1022,0.4735812133072407,2.3492317899054753,0.0,0.0,0.0,0.0,41.0
CountHigherOrderCalls,1022,1.7426614481409002,4.0505280681187665,0.0,0.0,0.0,2.0,58.0
CountFunctionCalls,1022,0.2671232876712329,0.9005794970055667,0.0,0.0,0.0,0.0,10.0
CountCurrying,1022,0.33268101761252444,1.4621869409737858,0.0,0.0,0.0,0.0,17.0
CountPatternMatching,1022,0.6115459882583171,1.5499466855506812,0.0,0.0,0.0,1.0,16.0
CountLazyValues,1022,0.04500978473581213,0.4197960769603425,0.0,0.0,0.0,0.0,9.0
CountParameterLists,1022,0.2455968688845401,1.7690768482778043,0.0,0.0,0.0,0.0,42.0
FunctionalScoreCount,1022,7.782778864970646,17.540265050705294,0.0,0.0,2.0,7.75,253.0
CountVariables,1022,1.2064579256360077,6.399179472506039,0.0,0.0,0.0,0.0,133.0
CountVariableDefinitions,1022,0.07729941291585127,0.571004704495481,0.0,0.0,0.0,0.0,12.0
CountInnerVariableAssignment,1022,0.12915851272015655,1.0232129862358696,0.0,0.0,0.0,0.0,19.0
CountOuterVariableUsage,1022,0.6046966731898239,3.49930697713753,0.0,0.0,0.0,0.0,57.0
CountOuterVariableAssignment,1022,0.1917808219178082,1.1004455330050684,0.0,0.0,0.0,0.0,16.0
CountSideEffects,1022,2.8992172211350296,8.377165653236215,0.0,0.0,0.0,2.0,96.0
IsSideEffect,1022,0.5,1.9998775672613711,0.0,0.0,0.0,0.0,39.0
CountSideEffectCalls,1022,1.3033268101761253,3.8211700482387028,0.0,0.0,0.0,1.0,43.0
CountSideEffectFunctions,1022,0.12818003913894324,0.5906622512707146,0.0,0.0,0.0,0.0,8.0
ImperativeScoreCount,1022,7.040117416829745,23.170266907104,0.0,0.0,0.0,4.0,374.0
HasPointsCount,1022,2.0772994129158513,3.638526752798743,0.0,0.0,1.0,2.0,52.0
ParadigmScoreCount,1022,0.7896281800391389,3.653419374110083,-52.0,0.0,0.0,1.0,45.0
