name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,380,39,341,10.263157894736842,3.0854430379746836
CountNestedDepth,474,36,438,7.59493670886076,2.848101265822785
CountNestedMethods,739,167,572,22.59810554803789,13.212025316455698
CountFunctions,4392,543,3849,12.363387978142077,42.958860759493675
IsFunction,508,70,438,13.779527559055119,5.537974683544303
CountFunctionParameters,847,67,780,7.910271546635183,5.3006329113924044
CountHigherOrderCalls,3446,430,3016,12.478235635519443,34.01898734177215
CountFunctionCalls,649,106,543,16.33281972265023,8.38607594936709
CountCurrying,238,49,189,20.588235294117645,3.8765822784810124
CountPatternMatching,2473,399,2074,16.13424989890821,31.56645569620253
CountLazyValues,333,67,266,20.12012012012012,5.3006329113924044
CountParameterLists,793,31,762,3.909205548549811,2.45253164556962
FunctionalScoreCount,6812,769,6043,11.288901937756899,60.83860759493671
CountVariables,2797,354,2443,12.656417590275296,28.00632911392405
CountVariableDefinitions,407,68,339,16.707616707616708,5.379746835443038
CountInnerVariableAssignment,453,58,395,12.803532008830022,4.588607594936709
CountOuterVariableUsage,2584,344,2240,13.312693498452013,27.21518987341772
CountOuterVariableAssignment,1312,220,1092,16.76829268292683,17.405063291139243
CountSideEffects,6829,683,6146,10.001464343242056,54.03481012658228
IsSideEffect,4970,439,4531,8.832997987927566,34.73101265822785
CountSideEffectCalls,5538,651,4887,11.755146262188516,51.50316455696202
CountSideEffectFunctions,705,149,556,21.134751773049647,11.787974683544304
ImperativeScoreCount,7362,705,6657,9.576202118989405,55.7753164556962
HasPointsCount,11159,1000,10159,8.961376467425398,79.11392405063292
ParadigmScoreCount,8144,526,7618,6.458742632612966,41.61392405063291
