name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,275,29,246,10.545454545454545,0.3245663122551763
CountNestedDepth,852,112,740,13.145539906103288,1.2534974818130946
CountNestedMethods,965,304,661,31.50259067357513,3.4023503077784
CountFunctions,25346,3239,22107,12.779136747415764,36.25069949636262
IsFunction,1480,89,1391,6.013513513513514,0.9960828203693342
CountFunctionParameters,3609,293,3316,8.118592407869215,3.2792389479574706
CountHigherOrderCalls,21613,2937,18676,13.58904363114792,32.870733072188024
CountFunctionCalls,2063,262,1801,12.69995152690257,2.932288752098489
CountCurrying,713,46,667,6.451612903225806,0.5148293228875209
CountPatternMatching,11703,2824,8879,24.130564812441254,31.606043648573028
CountLazyValues,2957,339,2618,11.464321947920189,3.794068270844991
CountParameterLists,10241,1960,8281,19.138755980861244,21.936205931729155
FunctionalScoreCount,38606,5699,32907,14.761954100398903,63.78287632904309
CountVariables,484,66,418,13.636363636363635,0.7386681589255736
CountVariableDefinitions,108,39,69,36.11111111111111,0.43648573027420257
CountInnerVariableAssignment,181,58,123,32.04419889502763,0.6491326245103526
CountOuterVariableUsage,372,33,339,8.870967741935484,0.3693340794627868
CountOuterVariableAssignment,184,21,163,11.41304347826087,0.2350307778399552
CountSideEffects,3181,447,2734,14.052184847532223,5.002797985450476
IsSideEffect,1754,175,1579,9.977194982896236,1.9585898153329604
CountSideEffectCalls,2065,316,1749,15.302663438256658,3.536653609401231
CountSideEffectFunctions,642,81,561,12.616822429906541,0.906547285954113
ImperativeScoreCount,3443,491,2952,14.260819053151321,5.495243424734191
HasPointsCount,39852,5809,34043,14.57643280136505,65.01398992725238
ParadigmScoreCount,37655,5428,32227,14.415084318151639,60.749860100727474
