name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,388,22,366,5.670103092783505,2.1505376344086025
CountNestedDepth,1180,72,1108,6.101694915254238,7.038123167155426
CountNestedMethods,993,152,841,15.307150050352467,14.858260019550343
CountFunctions,5124,514,4610,10.031225604996097,50.24437927663734
IsFunction,35,0,35,0.0,0.0
CountFunctionParameters,737,102,635,13.83989145183175,9.970674486803519
CountHigherOrderCalls,4612,459,4153,9.952298352124892,44.868035190615835
CountFunctionCalls,850,115,735,13.529411764705882,11.241446725317692
CountCurrying,39,9,30,23.076923076923077,0.8797653958944283
CountPatternMatching,4019,418,3601,10.4005971634735,40.86021505376344
CountLazyValues,624,87,537,13.942307692307693,8.504398826979472
CountParameterLists,919,70,849,7.616974972796518,6.8426197458455515
FunctionalScoreCount,8025,689,7336,8.585669781931465,67.35092864125122
CountVariables,1319,100,1219,7.58150113722517,9.775171065493646
CountVariableDefinitions,290,26,264,8.96551724137931,2.541544477028348
CountInnerVariableAssignment,282,26,256,9.219858156028367,2.541544477028348
CountOuterVariableUsage,1037,79,958,7.618129218900675,7.722385141739981
CountOuterVariableAssignment,298,28,270,9.395973154362416,2.7370478983382207
CountSideEffects,4204,380,3824,9.039010466222646,37.14565004887586
IsSideEffect,2212,163,2049,7.368896925858952,15.933528836754643
CountSideEffectCalls,2747,255,2492,9.282854022570076,24.926686217008797
CountSideEffectFunctions,743,84,659,11.305518169582772,8.211143695014663
ImperativeScoreCount,4737,411,4326,8.676377454084863,40.17595307917888
HasPointsCount,9925,786,9139,7.919395465994962,76.83284457478005
ParadigmScoreCount,7088,472,6616,6.659142212189615,46.138807429130004
