name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,1517,83,1434,5.471324983520105,4.967085577498504
CountNestedDepth,1736,83,1653,4.78110599078341,4.967085577498504
CountNestedMethods,3704,263,3441,7.100431965442764,15.739078396169958
CountFunctions,28758,1198,27560,4.165797343347938,71.69359664871334
IsFunction,475,8,467,1.6842105263157894,0.47875523638539796
CountFunctionParameters,14750,549,14201,3.7220338983050847,32.85457809694793
CountHigherOrderCalls,25953,1116,24837,4.300080915501098,66.78635547576302
CountFunctionCalls,9467,466,9001,4.922361888665892,27.88749251944943
CountCurrying,1272,68,1204,5.345911949685535,4.069419509275883
CountPatternMatching,7070,531,6539,7.51060820367751,31.77737881508079
CountLazyValues,1314,54,1260,4.10958904109589,3.231597845601436
CountParameterLists,18284,524,17760,2.8658936775322688,31.358467983243564
FunctionalScoreCount,35173,1323,33850,3.7614078981036587,79.17414721723519
CountVariables,1814,63,1751,3.4729878721058434,3.7701974865350087
CountVariableDefinitions,1114,43,1071,3.859964093357271,2.5733093955715143
CountInnerVariableAssignment,1206,42,1164,3.482587064676617,2.5134649910233393
CountOuterVariableUsage,785,26,759,3.3121019108280256,1.5559545182525434
CountOuterVariableAssignment,177,10,167,5.649717514124294,0.5984440454817475
CountSideEffects,5039,271,4768,5.3780512006350465,16.217833632555354
IsSideEffect,1039,19,1020,1.8286814244465832,1.1370436864153202
CountSideEffectCalls,2936,141,2795,4.802452316076295,8.43806104129264
CountSideEffectFunctions,563,55,508,9.769094138543517,3.291442250149611
ImperativeScoreCount,5410,284,5126,5.249537892791127,16.99581089168163
HasPointsCount,36406,1368,35038,3.757622369939021,81.86714542190305
ParadigmScoreCount,32229,1129,31100,3.50305625368457,67.56433273488929
