name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,58,22,36,37.93103448275862,30.555555555555557
CountNestedMethods,119,31,88,26.05042016806723,43.05555555555556
CountFunctions,396,53,343,13.383838383838384,73.61111111111111
IsFunction,8,0,8,0.0,0.0
CountFunctionParameters,96,16,80,16.666666666666664,22.22222222222222
CountHigherOrderCalls,367,53,314,14.441416893732969,73.61111111111111
CountFunctionCalls,89,19,70,21.34831460674157,26.38888888888889
CountCurrying,10,2,8,20.0,2.7777777777777777
CountPatternMatching,356,54,302,15.168539325842698,75.0
CountLazyValues,83,34,49,40.963855421686745,47.22222222222222
CountParameterLists,228,34,194,14.912280701754385,47.22222222222222
FunctionalScoreCount,613,65,548,10.60358890701468,90.27777777777779
CountVariables,119,30,89,25.210084033613445,41.66666666666667
CountVariableDefinitions,55,13,42,23.636363636363637,18.055555555555554
CountInnerVariableAssignment,54,13,41,24.074074074074073,18.055555555555554
CountOuterVariableUsage,80,23,57,28.749999999999996,31.944444444444443
CountOuterVariableAssignment,89,24,65,26.96629213483146,33.33333333333333
CountSideEffects,413,61,352,14.769975786924938,84.72222222222221
IsSideEffect,200,43,157,21.5,59.72222222222222
CountSideEffectCalls,370,58,312,15.675675675675677,80.55555555555556
CountSideEffectFunctions,107,31,76,28.971962616822427,43.05555555555556
ImperativeScoreCount,417,61,356,14.628297362110313,84.72222222222221
HasPointsCount,689,67,622,9.724238026124818,93.05555555555556
ParadigmScoreCount,540,54,486,10.0,75.0
