name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,15,5,10,33.33333333333333,8.47457627118644
CountNestedMethods,108,26,82,24.074074074074073,44.06779661016949
CountFunctions,283,29,254,10.247349823321555,49.152542372881356
IsFunction,50,11,39,22.0,18.64406779661017
CountFunctionParameters,96,17,79,17.708333333333336,28.8135593220339
CountHigherOrderCalls,232,29,203,12.5,49.152542372881356
CountFunctionCalls,76,15,61,19.736842105263158,25.423728813559322
CountCurrying,23,6,17,26.08695652173913,10.16949152542373
CountPatternMatching,215,31,184,14.418604651162791,52.54237288135594
CountLazyValues,5,1,4,20.0,1.694915254237288
CountParameterLists,162,22,140,13.580246913580247,37.28813559322034
FunctionalScoreCount,405,39,366,9.62962962962963,66.10169491525424
CountVariables,62,17,45,27.419354838709676,28.8135593220339
CountVariableDefinitions,31,15,16,48.38709677419355,25.423728813559322
CountInnerVariableAssignment,53,19,34,35.84905660377358,32.20338983050847
CountOuterVariableUsage,45,8,37,17.77777777777778,13.559322033898304
CountOuterVariableAssignment,21,1,20,4.761904761904762,1.694915254237288
CountSideEffects,163,28,135,17.177914110429448,47.45762711864407
IsSideEffect,62,12,50,19.35483870967742,20.33898305084746
CountSideEffectCalls,117,26,91,22.22222222222222,44.06779661016949
CountSideEffectFunctions,25,7,18,28.000000000000004,11.864406779661017
ImperativeScoreCount,177,32,145,18.07909604519774,54.23728813559322
HasPointsCount,444,46,398,10.36036036036036,77.96610169491525
ParadigmScoreCount,368,42,326,11.41304347826087,71.1864406779661
