name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,4,3,1,75.0,1.1406844106463878
CountNestedMethods,115,100,15,86.95652173913044,38.02281368821293
CountFunctions,429,196,233,45.68764568764569,74.52471482889734
IsFunction,24,3,21,12.5,1.1406844106463878
CountFunctionParameters,78,45,33,57.692307692307686,17.110266159695815
CountHigherOrderCalls,414,194,220,46.85990338164252,73.76425855513308
CountFunctionCalls,72,42,30,58.333333333333336,15.96958174904943
CountPatternMatching,433,217,216,50.11547344110855,82.50950570342205
CountLazyValues,15,14,1,93.33333333333333,5.323193916349809
CountParameterLists,241,148,93,61.41078838174274,56.27376425855514
FunctionalScoreCount,606,246,360,40.5940594059406,93.5361216730038
CountVariables,67,48,19,71.64179104477611,18.250950570342205
CountVariableDefinitions,36,30,6,83.33333333333334,11.406844106463879
CountInnerVariableAssignment,49,39,10,79.59183673469387,14.82889733840304
CountOuterVariableUsage,32,18,14,56.25,6.844106463878327
CountOuterVariableAssignment,13,8,5,61.53846153846154,3.041825095057034
CountSideEffects,299,168,131,56.187290969899664,63.87832699619772
IsSideEffect,238,141,97,59.2436974789916,53.61216730038023
CountSideEffectCalls,204,134,70,65.68627450980392,50.950570342205324
CountSideEffectFunctions,80,61,19,76.25,23.193916349809886
ImperativeScoreCount,311,176,135,56.59163987138264,66.92015209125475
HasPointsCount,651,254,397,39.01689708141321,96.57794676806084
ParadigmScoreCount,577,227,350,39.34142114384749,86.31178707224335
