name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,3100,109,118,5,-0.9162670031187694,4.385964912280701,4.0650406504065035,0.006932532773728081
CountNestedDepth,171,3038,6,117,-24.69654959248253,3.7083993660855783,95.1219512195122,0.0037892409221146318
CountNestedMethods,2991,218,106,17,-1.7351123744955124,7.234042553191489,13.821138211382115,0.05175458761981981
CountFunctions,2627,582,83,40,-4.6137337316034435,6.430868167202572,32.52032520325203,0.06960368635907395
IsFunction,1631,1578,67,56,-12.886604493966413,3.4271725826193387,45.52845528455284,-0.013750817260544774
CountFunctionParameters,2895,314,102,21,-2.511749221574485,6.26865671641791,17.073170731707318,0.04569738873509948
CountHigherOrderCalls,2432,777,68,55,-6.133240606323172,6.610576923076923,44.71544715447154,0.0893116801873082
CountFunctionCalls,2993,216,107,16,-1.7266706696359582,6.896551724137931,13.008130081300814,0.04650171163749078
CountCurrying,3151,58,118,5,-0.48574005528151276,7.936507936507936,4.0650406504065035,0.03125440923645252
CountPatternMatching,2626,583,83,40,-4.622175436462998,6.420545746388442,32.52032520325203,0.06940993541431995
CountLazyValues,5,3204,0,123,-26.047222370011177,3.69702434625789,100.0,0.007589729519334512
CountParameterLists,2769,440,93,30,-3.4994286901423086,6.382978723404255,24.390243902439025,0.05784641127787136
FunctionalScoreCount,2514,695,78,45,-5.52543785643528,6.081081081081082,36.58536585365854,0.06771610433062082
CountVariables,3082,127,105,18,-0.9584755274165395,12.413793103448276,14.634146341463413,0.09867164987012639
CountVariableDefinitions,3155,54,108,15,-0.3675561872477562,21.73913043478261,12.195121951219512,0.13918881566505784
CountInnerVariableAssignment,3112,97,101,22,-0.6714575621917018,18.487394957983195,17.88617886178862,0.15101762045795805
CountOuterVariableUsage,3126,83,118,5,-0.696782676770364,5.681818181818182,4.0650406504065035,0.017385857276652483
CountOuterVariableAssignment,2867,342,111,12,-2.8240923013779846,3.389830508474576,9.75609756097561,-0.005515749721849405
CountSideEffects,2878,331,84,39,-2.503307516714931,10.54054054054054,31.70731707317073,0.1283828861238336
IsSideEffect,3091,118,111,12,-0.9331504128378774,9.230769230769232,9.75609756097561,0.05919471041558083
CountSideEffectCalls,2993,216,83,40,-1.524069753006661,15.625,32.52032520325203,0.18258415458220648
CountSideEffectFunctions,3173,36,111,12,-0.2409306143544454,25.0,9.75609756097561,0.1366280842686948
ImperativeScoreCount,2980,229,91,32,-1.701345555057296,12.260536398467432,26.01626016260163,0.13248938919879436
HasPointsCount,1602,1607,31,92,-12.827512559949534,5.414949970570924,74.79674796747967,0.09323430877851814
ParadigmScoreCount,1234,1975,48,75,-16.077568930877842,3.6585365853658534,60.97560975609756,-0.002209144686937353
