name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,22,3288,0,75,-43.83335347432024,2.230151650312221,100.0,0.012174875857090102
CountNestedDepth,2866,444,68,7,-5.98134944612286,1.5521064301552108,9.333333333333334,-0.017674473723852693
CountNestedMethods,3152,158,61,14,-1.9861631419939578,8.13953488372093,18.666666666666668,0.09311700084041244
CountFunctions,2757,553,47,28,-7.181268882175226,4.819277108433735,37.333333333333336,0.08051757213823468
IsFunction,2602,708,62,13,-9.499295065458208,1.8030513176144243,17.333333333333336,-0.014583108243258688
CountFunctionParameters,2998,312,63,12,-4.113293051359517,3.7037037037037033,16.0,0.032890566665924825
CountHigherOrderCalls,2613,697,47,28,-9.144773413897282,3.8620689655172415,37.333333333333336,0.05839567205149779
CountFunctionCalls,132,3178,2,73,-42.360725075528705,2.245462934481698,97.33333333333334,0.009973976283404937
CountCurrying,46,3264,0,75,-43.50610271903324,2.2461814914645104,100.0,0.017667997987671064
CountPatternMatching,2789,521,37,38,-6.608580060422961,6.797853309481217,50.66666666666667,0.13845464527539356
CountLazyValues,84,3226,2,73,-43.01522658610272,2.2127917550772964,97.33333333333334,-0.0012057713662170153
CountParameterLists,2658,652,36,39,-8.381188318227593,5.643994211287988,52.0,0.11796081528494244
FunctionalScoreCount,2714,596,36,39,-7.617603222557905,6.141732283464567,52.0,0.1281719963481525
CountVariables,2612,698,62,13,-9.362940584088621,1.8284106891701828,17.333333333333336,-0.01356612398636715
CountVariableDefinitions,3285,25,73,2,-0.3362739174219538,7.4074074074074066,2.666666666666667,0.03162782740783073
CountInnerVariableAssignment,3274,36,71,4,-0.45899295065458223,10.0,5.333333333333334,0.057831961893793665
CountOuterVariableUsage,45,3265,0,75,-43.519738167170196,2.245508982035928,100.0,0.017472283116870064
CountOuterVariableAssignment,28,3282,0,75,-43.75154078549849,2.234137622877569,100.0,0.013747381342574408
CountSideEffects,3147,163,72,3,-2.2043303121852973,1.8072289156626504,4.0,-0.006301203838980303
IsSideEffect,43,3267,0,75,-43.54700906344411,2.244165170556553,100.0,0.01707448603959751
CountSideEffectCalls,3174,136,71,4,-1.8225377643504532,2.857142857142857,5.333333333333334,0.009052271824630921
CountSideEffectFunctions,3304,6,73,2,-0.07720040281973817,25.0,2.666666666666667,0.07534076256755864
ImperativeScoreCount,2847,463,67,8,-6.226787512588118,1.6985138004246285,10.666666666666668,-0.014125076354360586
HasPointsCount,1673,1637,9,66,-21.44394763343404,3.875513799177922,88.0,0.11346944036415202
ParadigmScoreCount,1845,1465,14,61,-19.166827794561936,3.99737876802097,81.33333333333333,0.10967090477467491
