name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,51560,22258,6263,2672,-2.578422899569857,10.718010429201765,29.90486849468383,-0.0016752835082299447
CountNestedDepth,73078,740,8823,112,-0.19983374315720148,13.145539906103288,1.2534974818130946,0.007717791298509625
CountNestedMethods,73157,661,8631,304,-0.16583238956569235,31.50259067357513,3.4023503077784,0.07246992276108337
CountFunctions,51711,22107,5696,3239,-2.48833813248977,12.779136747415764,36.25069949636262,0.04243451492515055
IsFunction,1391,72427,89,8846,-8.098310542589942,10.88430352023427,99.00391717963066,0.02080055839869456
CountFunctionParameters,3316,70502,293,8642,-7.882383127346447,10.91933690488224,96.72076105204252,0.018430941250086326
CountHigherOrderCalls,55142,18676,5998,2937,-2.095754238069726,13.58904363114792,32.870733072188024,0.053486296945180735
CountFunctionCalls,72017,1801,8673,262,-0.3141334963744147,12.69995152690257,2.932288752098489,0.009803453072237523
CountCurrying,667,73151,46,8889,-8.183753058441669,10.83495855680156,99.48517067711248,0.013053738064899973
CountPatternMatching,64939,8879,6111,2824,-0.8807390787332898,24.130564812441254,31.606043648573028,0.17436604901004138
CountLazyValues,71200,2618,8596,339,-0.4069785209416352,11.464321947920189,3.794068270844991,0.004138101151481495
CountParameterLists,65537,8281,6975,1960,-0.914113101077723,19.138755980861244,21.936205931729155,0.1010110943716102
FunctionalScoreCount,49456,24362,4864,4071,-2.6668766054075466,14.317870080540217,45.56239507554561,0.08207542754656912
CountVariables,73400,418,8869,66,-0.16520505831861643,13.636363636363635,0.7386681589255736,0.007017002081784757
CountVariableDefinitions,73749,69,8896,39,-0.12480492600693416,36.11111111111111,0.43648573027420257,0.02948616634377304
CountInnerVariableAssignment,73695,123,8877,58,-0.12919624473646474,32.04419889502763,0.6491326245103526,0.03205353873825942
CountOuterVariableUsage,66173,7645,8013,922,-0.9645505333426185,10.762227150694525,10.318970341354225,-0.0003828564418063787
CountOuterVariableAssignment,73655,163,8914,21,-0.13885714594143228,11.41304347826087,0.2350307778399552,0.0009367678358156215
CountSideEffects,71084,2734,8488,447,-0.4079822509369564,14.052184847532223,5.002797985450476,0.02097041934913173
IsSideEffect,1579,72239,175,8760,-8.085512985149595,10.814948332695465,98.04141018466704,0.0038881443546512177
CountSideEffectCalls,72069,1749,8619,316,-0.3008340739364075,15.302663438256658,3.536653609401231,0.023224755963293472
CountSideEffectFunctions,73257,561,8854,81,-0.18126473824375733,12.616822429906541,0.906547285954113,0.005184482955601437
ImperativeScoreCount,70866,2952,8444,491,-0.42981337833519473,14.260819053151321,5.495243424734191,0.023253644873366144
HasPointsCount,39775,34043,3126,5809,-3.663455024512184,14.57643280136505,65.01398992725238,0.11736842864654672
ParadigmScoreCount,42727,31091,3617,5318,-3.354682584701469,14.606278667362465,59.518746502518184,0.1087887142591635
