name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,24,230,10,71,-2.9078448527267433,23.588039867109632,87.65432098765432,-0.04107373394819892
CountNestedDepth,254,0,81,0,-0.3188976377952759,0.0,0.0,0.0
CountNestedMethods,248,6,66,15,-0.17235345581802308,71.42857142857143,18.51851851851852,0.2853823934332287
CountFunctions,199,55,38,43,-0.514289880431613,43.87755102040816,53.086419753086425,0.29583958346987305
IsFunction,198,56,67,14,-1.002770487022456,20.0,17.28395061728395,-0.0501642993706997
CountFunctionParameters,240,14,69,12,-0.35146301156799864,46.15384615384615,14.814814814814813,0.1488732440318852
CountHigherOrderCalls,203,51,40,41,-0.4817245066588902,44.565217391304344,50.617283950617285,0.29296156131063394
CountFunctionCalls,241,13,71,10,-0.3677456984543601,43.47826086956522,12.345679012345679,0.12237998221734213
CountCurrying,254,0,81,0,-0.3188976377952759,0.0,0.0,0.0
CountPatternMatching,221,33,44,37,-0.25376689024983,52.85714285714286,45.67901234567901,0.3442397074162811
CountLazyValues,253,1,78,3,-0.28633226402255296,75.0,3.7037037037037033,0.13047994098716176
CountParameterLists,208,46,53,28,-0.6119860017497816,37.83783783783784,34.5679012345679,0.16986013796279997
FunctionalScoreCount,205,49,38,43,-0.4165937591134443,46.73913043478261,53.086419753086425,0.32420209068802125
CountVariables,247,7,66,15,-0.18863614270438434,68.18181818181817,18.51851851851852,0.2724608277774641
CountVariableDefinitions,49,205,17,64,-2.6147564887722377,23.79182156133829,79.01234567901234,-0.01826072227686381
CountInnerVariableAssignment,250,4,70,11,-0.2049188295907458,73.33333333333333,13.580246913580247,0.2485518310174277
CountOuterVariableUsage,250,4,75,6,-0.28633226402255296,60.0,7.4074074074074066,0.14675070550857883
CountOuterVariableAssignment,27,227,10,71,-2.858996792067659,23.825503355704697,87.65432098765432,-0.02343723332412267
CountSideEffects,214,40,51,30,-0.4817245066588902,42.857142857142854,37.03703703703704,0.22420370535067827
IsSideEffect,217,37,51,30,-0.4328764459998058,44.776119402985074,37.03703703703704,0.2405247253029608
CountSideEffectCalls,231,23,55,26,-0.2700495771361915,53.06122448979592,32.098765432098766,0.27920907573484444
CountSideEffectFunctions,244,10,68,13,-0.2700495771361915,56.52173913043478,16.049382716049383,0.20509140261305756
ImperativeScoreCount,220,34,50,31,-0.3677456984543601,47.69230769230769,38.2716049382716,0.2694461812048189
HasPointsCount,150,104,17,64,-0.9702051132497331,38.095238095238095,79.01234567901234,0.32598711512755013
ParadigmScoreCount,169,85,36,45,-0.9702051132497331,34.61538461538461,55.55555555555556,0.19410016882364717
