name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,9,881,0,74,-11.89529304585484,7.74869109947644,100.0,0.027992418695808294
CountNestedDepth,890,0,74,0,-0.08314606741573005,0.0,0.0,0.0
CountNestedMethods,815,75,54,20,-0.8881870634679618,21.052631578947366,27.027027027027028,0.1661320922807233
CountFunctions,684,206,42,32,-2.630003036744609,13.445378151260504,43.24324324324324,0.12407637777824086
IsFunction,694,196,58,16,-2.7178256908593976,7.547169811320755,21.62162162162162,-0.0025764173370706666
CountFunctionParameters,787,103,57,17,-1.3419374430610378,14.166666666666666,22.972972972972975,0.0919287922461824
CountHigherOrderCalls,688,202,44,30,-2.600728818706346,12.931034482758621,40.54054054054054,0.11112234216879273
CountFunctionCalls,67,823,7,67,-11.148800485879134,7.528089887640449,90.54054054054053,-0.0193136957181901
CountCurrying,19,871,1,73,-11.763559064682656,7.733050847457627,98.64864864864865,0.014633150640757065
CountPatternMatching,750,140,44,30,-1.6932280595201936,17.647058823529413,40.54054054054054,0.17330315817184477
CountLazyValues,858,32,54,20,-0.25879137564530796,38.46153846153847,27.027027027027028,0.2761291528226544
CountParameterLists,719,171,42,32,-2.117704221075007,15.763546798029557,43.24324324324324,0.15689891880509954
FunctionalScoreCount,742,148,34,40,-1.6639538414819306,21.27659574468085,54.054054054054056,0.25145544072498205
CountVariables,862,28,52,22,-0.1709687215305189,44.0,29.72972972972973,0.31912995774908454
CountVariableDefinitions,874,16,70,4,-0.25879137564530796,20.0,5.405405405405405,0.06738055411325346
CountInnerVariableAssignment,871,19,68,6,-0.2734284846644395,24.0,8.108108108108109,0.10005082910757922
CountOuterVariableUsage,875,15,56,18,-0.03923474035833552,54.54545454545454,24.324324324324326,0.33146293366884577
CountOuterVariableAssignment,882,8,57,17,0.04858791375645333,68.0,22.972972972972975,0.3697353720299915
CountSideEffects,835,55,49,25,-0.5222593379896747,31.25,33.78378378378378,0.26638630244415906
IsSideEffect,26,864,2,72,-11.675736410567868,7.6923076923076925,97.2972972972973,0.0034660489263082504
CountSideEffectCalls,836,54,48,26,-0.4929851199514117,32.5,35.13513513513514,0.2805115167211761
CountSideEffectFunctions,885,5,72,2,-0.12705739447312459,28.57142857142857,2.7027027027027026,0.06712793082914742
ImperativeScoreCount,836,54,49,25,-0.5076222289705432,31.645569620253166,33.78378378378378,0.26900602183535316
HasPointsCount,574,316,21,53,-3.9327057394473117,14.363143631436316,71.62162162162163,0.197805737929406
ParadigmScoreCount,529,361,37,37,-4.825569389614332,9.296482412060302,50.0,0.05103291676652463
