name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,1247,33,162,10,-0.2860646802325584,23.25581395348837,5.813953488372093,0.061682927616734294
CountNestedDepth,128,1152,17,155,-6.709792877906978,11.859219586840092,90.11627906976744,0.0012532824613678268
CountNestedMethods,1141,139,136,36,-0.813680959302326,20.57142857142857,20.930232558139537,0.09995883564406245
CountFunctions,1041,239,102,70,-1.2489643895348843,22.653721682847898,40.69767441860465,0.17389958008044468
IsFunction,22,1258,4,168,-7.323146802325583,11.781206171107995,97.67441860465115,-0.014787365691851762
CountFunctionParameters,1084,196,115,57,-1.0511082848837212,22.529644268774703,33.13953488372093,0.15187226515751012
CountHigherOrderCalls,1122,158,117,55,-0.813680959302326,25.821596244131456,31.976744186046513,0.1793206446002446
CountFunctionCalls,1107,173,111,61,-0.8730377906976747,26.06837606837607,35.46511627906977,0.19291326638835074
CountCurrying,1256,24,157,15,-0.1937318313953491,38.46153846153847,8.720930232558139,0.13683534538695608
CountPatternMatching,1102,178,127,45,-1.0115370639534889,20.179372197309416,26.16279069767442,0.10985219696884224
CountLazyValues,1256,24,154,18,-0.1739462209302327,42.857142857142854,10.465116279069768,0.16562811125445537
CountParameterLists,803,477,92,80,-2.7526707848837217,14.362657091561939,46.51162790697674,0.061444656215552146
FunctionalScoreCount,1041,239,103,69,-1.2555595930232561,22.4025974025974,40.116279069767444,0.16950980321264725
CountVariables,168,1112,29,143,-6.52512718023256,11.39442231075697,83.13953488372093,-0.03524998344672061
CountVariableDefinitions,207,1073,36,136,-6.314080668604653,11.248966087675766,79.06976744186046,-0.04119172640466085
CountInnerVariableAssignment,728,552,99,73,-3.2934774709302337,11.68,42.44186046511628,-0.004458470162281981
CountOuterVariableUsage,849,431,122,50,-2.6471475290697684,10.395010395010395,29.069767441860467,-0.031596852273765456
CountOuterVariableAssignment,63,1217,11,161,-7.098909883720932,11.683599419448477,93.6046511627907,-0.021650661428785606
CountSideEffects,341,939,53,119,-5.542441860465118,11.247637051039698,69.18604651162791,-0.03032919151515722
IsSideEffect,211,1069,28,144,-6.2349382267441875,11.871393239901073,83.72093023255815,0.001789121668635867
CountSideEffectCalls,242,1038,39,133,-6.1030341569767455,11.357813834329633,77.32558139534885,-0.03082250470972891
CountSideEffectFunctions,1231,49,146,26,-0.2860646802325584,34.66666666666667,15.11627906976744,0.1648141651183573
ImperativeScoreCount,245,1035,35,137,-6.056867732558141,11.689419795221843,79.65116279069767,-0.009896226048508332
HasPointsCount,533,747,65,107,-4.35530523255814,12.52927400468384,62.2093023255814,0.025277971067126995
ParadigmScoreCount,672,608,65,107,-3.4385719476744194,14.965034965034965,62.2093023255814,0.09507679156356635
