name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,1359,3,878,18,-0.6301018066918398,85.71428571428571,2.0089285714285716,0.09116512820981663
CountNestedDepth,1362,0,896,0,-0.657856093979442,0.0,0.0,0.0
CountNestedMethods,1270,92,674,222,-0.4173189374868891,70.70063694267516,24.776785714285715,0.2548196475254112
CountFunctions,1102,260,540,356,-0.48022865533878756,57.7922077922078,39.732142857142854,0.226740638259297
IsFunction,1270,92,776,120,-0.6060480910425845,56.60377358490566,13.392857142857142,0.11134343266539035
CountFunctionParameters,1248,114,764,132,-0.6245509492343193,53.65853658536586,14.732142857142858,0.09989906565888867
CountHigherOrderCalls,986,376,484,412,-0.5912458044891966,52.28426395939086,45.982142857142854,0.18860979526870722
CountFunctionCalls,1195,167,715,181,-0.6319520925110131,52.01149425287356,20.200892857142858,0.10757964124994901
CountCurrying,1273,89,783,113,-0.6134492343192783,55.940594059405946,12.611607142857142,0.10417215173147437
CountPatternMatching,1071,291,563,333,-0.5801440895741556,53.36538461538461,37.16517857142857,0.17284971789365747
CountLazyValues,1337,25,845,51,-0.6097486626809314,67.10526315789474,5.691964285714286,0.10461492586197865
CountParameterLists,1289,73,783,113,-0.5838446612125026,60.752688172043015,12.611607142857142,0.1290445150140353
FunctionalScoreCount,1035,327,513,383,-0.5542400881057268,53.94366197183098,42.745535714285715,0.19743383982002727
CountVariables,1244,118,757,139,-0.6190000917767988,54.08560311284047,15.513392857142858,0.10551681183360433
CountVariableDefinitions,1325,37,844,52,-0.6301018066918398,58.42696629213483,5.803571428571429,0.07761601469123282
CountInnerVariableAssignment,1319,43,832,64,-0.6190000917767988,59.813084112149525,7.142857142857142,0.09177806850549632
CountOuterVariableUsage,1262,100,780,116,-0.6282515208726662,53.70370370370371,12.946428571428573,0.09321976440511483
CountOuterVariableAssignment,1271,91,805,91,-0.657856093979442,50.0,10.15625,0.06245042263365142
CountSideEffects,1178,184,583,313,-0.41916922330606243,62.97786720321932,34.933035714285715,0.2529734398551184
IsSideEffect,1171,191,652,244,-0.5597909455632473,56.09195402298851,27.232142857142854,0.1638562315212836
CountSideEffectCalls,1161,201,563,333,-0.41361836584854195,62.35955056179775,37.16517857142857,0.2579859826993407
CountSideEffectFunctions,1318,44,715,181,-0.40436693675267454,80.44444444444444,20.200892857142858,0.2771873444663279
ImperativeScoreCount,1163,199,596,300,-0.47097722624292016,60.120240480961925,33.482142857142854,0.22251569220951983
HasPointsCount,641,721,313,583,-0.9131955370253828,44.70858895705521,65.06696428571429,0.12014181745058174
ParadigmScoreCount,596,766,444,452,-1.238845841199916,37.11001642036125,50.44642857142857,-0.05687353835442903
