name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,61,562,29,234,-2.195783923002276,29.396984924623116,88.97338403041825,-0.018681460329070795
CountNestedDepth,623,0,263,0,-0.42215088282504,0.0,0.0,0.0
CountNestedMethods,609,14,173,90,-0.011187129613241309,86.53846153846155,34.22053231939163,0.45382652436850673
CountFunctions,444,179,151,112,-0.7844478757880728,38.48797250859107,42.585551330798474,0.1347658484735014
IsFunction,21,602,3,260,-2.2714877722781335,30.162412993039446,98.85931558935361,0.06276064405061882
CountFunctionParameters,590,33,218,45,-0.3572618691600191,57.692307692307686,17.110266159695815,0.1904762069388177
CountHigherOrderCalls,463,160,152,111,-0.6871143552905417,40.959409594095945,42.20532319391635,0.1638295666017857
CountFunctionCalls,593,30,221,42,-0.3572618691600191,58.333333333333336,15.96958174904943,0.1865008438378549
CountCurrying,623,0,263,0,-0.42215088282504,0.0,0.0,0.0
CountPatternMatching,457,166,145,118,-0.6817069374851232,41.54929577464789,44.866920152091254,0.17838252573125427
CountLazyValues,622,1,249,14,-0.3518544513546007,93.33333333333333,5.323193916349809,0.18282787872462994
CountParameterLists,532,91,141,122,-0.2545209308570695,57.27699530516433,46.38783269961977,0.33977652261255176
FunctionalScoreCount,473,150,107,156,-0.38970637599252944,50.98039215686274,59.31558935361216,0.3385829843007651
CountVariables,604,19,216,47,-0.27074318427332456,71.21212121212122,17.870722433460077,0.25788105167935305
CountVariableDefinitions,555,68,215,48,-0.530299238933408,41.37931034482759,18.250950570342205,0.09935922901176941
CountInnerVariableAssignment,613,10,224,39,-0.26533576646790613,79.59183673469387,14.82889733840304,0.26431153491052034
CountOuterVariableUsage,609,14,245,18,-0.4005212116033663,56.25,6.844106463878327,0.11256010492581203
CountOuterVariableAssignment,556,67,235,28,-0.6330401772363576,29.47368421052631,10.646387832699618,-0.0015951492513757892
CountSideEffects,518,105,153,110,-0.39511379379794787,51.162790697674424,41.825095057034225,0.2661216257420656
IsSideEffect,529,94,161,102,-0.3788915403816926,52.04081632653062,38.78326996197718,0.2608109371697311
CountSideEffectCalls,569,54,175,88,-0.23829867744081423,61.97183098591549,33.460076045627375,0.3087512782559263
CountSideEffectFunctions,604,19,202,61,-0.19503933499746706,76.25,23.193916349809886,0.3211134402163252
ImperativeScoreCount,529,94,154,109,-0.34103961574376385,53.69458128078818,41.44486692015209,0.2865184912358896
HasPointsCount,321,302,53,210,-0.919633320923533,41.015625,79.84790874524715,0.2902045623424539
ParadigmScoreCount,363,260,103,160,-0.9628926633668802,38.095238095238095,60.836501901140686,0.17478527268996044
