name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,918,28,34,15,-0.33084523449971925,34.883720930232556,30.612244897959183,0.2942550717608979
CountNestedDepth,946,0,49,0,-0.051797040169133,0.0,0.0,0.0
CountNestedMethods,874,72,31,18,-1.2109203089269531,20.0,36.734693877551024,0.21970736521921042
CountFunctions,811,135,21,28,-2.348578331967036,17.177914110429448,57.14285714285714,0.25064806659503824
IsFunction,6,940,0,49,-19.177330974673165,4.954499494438827,100.0,0.017726783931922303
CountFunctionParameters,879,67,40,9,-1.296781291797903,11.842105263157894,18.367346938775512,0.09193408542089003
CountHigherOrderCalls,807,139,17,32,-2.348578331967036,18.71345029239766,65.3061224489796,0.2902961327098905
CountFunctionCalls,888,58,35,14,-0.9962678517495791,19.444444444444446,28.57142857142857,0.1874157747159764
CountCurrying,847,99,45,4,-2.090995383354187,3.8834951456310676,8.16326530612245,-0.016350075847082868
CountPatternMatching,853,93,21,28,-1.4470380118220647,23.140495867768596,57.14285714285714,0.31323221761740133
CountLazyValues,916,30,28,21,-0.2449842516287697,41.17647058823529,42.857142857142854,0.3894114413972681
CountParameterLists,796,150,21,28,-2.670557017733097,15.730337078651685,57.14285714285714,0.2330944390281508
FunctionalScoreCount,833,113,17,32,-1.790481943305863,22.06896551724138,65.3061224489796,0.3272463735403844
CountVariables,882,64,30,19,-1.0177330974673167,22.89156626506024,38.775510204081634,0.25049282645655385
CountVariableDefinitions,910,36,40,9,-0.6313586745480431,20.0,18.367346938775512,0.15163243357066594
CountInnerVariableAssignment,912,34,40,9,-0.5884281831125682,20.930232558139537,18.367346938775512,0.15720539330774133
CountOuterVariableUsage,909,37,34,15,-0.5240324459593559,28.846153846153843,30.612244897959183,0.25960572437382873
CountOuterVariableAssignment,905,41,36,13,-0.6528239202657804,24.074074074074073,26.53061224489796,0.2120009794485919
CountSideEffects,853,93,20,29,-1.4255727661043274,23.770491803278688,59.183673469387756,0.32558802758312366
IsSideEffect,827,119,24,25,-2.0695301376364497,17.36111111111111,51.02040816326531,0.23642516104142497
CountSideEffectCalls,855,91,21,28,-1.4041075203865896,23.52941176470588,57.14285714285714,0.3169024822239682
CountSideEffectFunctions,894,52,30,19,-0.7601501488544675,26.76056338028169,38.775510204081634,0.2797335512846662
ImperativeScoreCount,849,97,20,29,-1.5114337489752767,23.015873015873016,59.183673469387756,0.31836361656952394
HasPointsCount,434,512,5,44,-10.097532036070241,7.913669064748201,89.79591836734694,0.15545947599147847
ParadigmScoreCount,620,326,18,31,-6.384044526901668,8.683473389355742,63.26530612244898,0.1299446094080243
