name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,253,1,79,2,-0.30261495090891444,66.66666666666666,2.4691358024691357,0.09432761158626228
CountNestedDepth,254,0,81,0,-0.3188976377952759,0.0,0.0,0.0
CountNestedMethods,248,6,64,17,-0.13978808204530013,73.91304347826086,20.98765432098765,0.31537329647401147
CountFunctions,206,48,37,44,-0.3840283853407216,47.82608695652174,54.32098765432099,0.33982235537671496
IsFunction,198,56,67,14,-1.002770487022456,20.0,17.28395061728395,-0.0501642993706997
CountFunctionParameters,240,14,69,12,-0.35146301156799864,46.15384615384615,14.814814814814813,0.1488732440318852
CountHigherOrderCalls,216,38,44,37,-0.33518032468163717,49.333333333333336,45.67901234567901,0.31552981648074707
CountFunctionCalls,241,13,71,10,-0.3677456984543601,43.47826086956522,12.345679012345679,0.12237998221734213
CountCurrying,254,0,81,0,-0.3188976377952759,0.0,0.0,0.0
CountPatternMatching,199,55,27,54,-0.33518032468163717,49.54128440366973,66.66666666666666,0.41136851402191565
CountLazyValues,253,1,78,3,-0.28633226402255296,75.0,3.7037037037037033,0.13047994098716176
CountParameterLists,207,47,48,33,-0.5468552542043359,41.25,40.74074074074074,0.22331435800044216
FunctionalScoreCount,213,41,34,47,-0.22120151647710729,53.40909090909091,58.0246913580247,0.407480577033431
CountVariables,247,7,66,15,-0.18863614270438434,68.18181818181817,18.51851851851852,0.2724608277774641
CountVariableDefinitions,250,4,72,9,-0.23748420336346876,69.23076923076923,11.11111111111111,0.2114170571425543
CountInnerVariableAssignment,250,4,70,11,-0.2049188295907458,73.33333333333333,13.580246913580247,0.2485518310174277
CountOuterVariableUsage,250,4,75,6,-0.28633226402255296,60.0,7.4074074074074066,0.14675070550857883
CountOuterVariableAssignment,50,204,18,63,-2.6147564887722377,23.595505617977526,77.77777777777779,-0.027008536271244787
CountSideEffects,224,30,48,33,-0.2700495771361915,52.38095238095239,40.74074074074074,0.3169923839853344
IsSideEffect,215,39,47,34,-0.40031107222708306,46.57534246575342,41.9753086419753,0.2761031093258078
CountSideEffectCalls,231,23,50,31,-0.18863614270438434,57.407407407407405,38.2716049382716,0.34020235870494336
CountSideEffectFunctions,244,10,67,14,-0.25376689024983,58.333333333333336,17.28395061728395,0.22159264927936945
ImperativeScoreCount,224,30,48,33,-0.2700495771361915,52.38095238095239,40.74074074074074,0.3169923839853344
HasPointsCount,127,127,6,75,-1.1655973558860704,37.12871287128713,92.5925925925926,0.37272793114573316
ParadigmScoreCount,156,98,22,59,-0.9539224263633717,37.57961783439491,72.8395061728395,0.29393188532628334
