name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,9,881,0,74,-11.89529304585484,7.74869109947644,100.0,0.027992418695808294
CountNestedDepth,890,0,74,0,-0.08314606741573005,0.0,0.0,0.0
CountNestedMethods,803,87,49,25,-0.9906468266018822,22.321428571428573,33.78378378378378,0.1994560131132133
CountFunctions,689,201,38,36,-2.4982690555724254,15.18987341772152,48.64864864864865,0.16114501179165433
IsFunction,864,26,69,5,-0.39052535681749134,16.129032258064516,6.756756756756757,0.057876307344734465
CountFunctionParameters,780,110,56,18,-1.4297600971758269,14.0625,24.324324324324326,0.09386576646627215
CountHigherOrderCalls,634,256,34,40,-3.244761615548131,13.513513513513514,54.054054054054056,0.14595728026115845
CountFunctionCalls,742,148,63,11,-2.088430003036744,6.918238993710692,14.864864864864865,-0.01265606691984155
CountCurrying,19,871,1,73,-11.763559064682656,7.733050847457627,98.64864864864865,0.014633150640757065
CountPatternMatching,673,217,30,44,-2.6153659277254775,16.85823754789272,59.45945945945946,0.21015551920993578
CountLazyValues,852,38,51,23,-0.3027027027027023,37.704918032786885,31.08108108108108,0.29317157260967786
CountParameterLists,690,200,33,41,-2.410446401457637,17.012448132780083,55.4054054054054,0.20247481876027768
FunctionalScoreCount,767,123,24,50,-1.1516550258123286,28.901734104046245,67.56756756756756,0.37286924934238114
CountVariables,858,32,51,23,-0.21488004858791343,41.81818181818181,31.08108108108108,0.3154658924187337
CountVariableDefinitions,873,17,69,5,-0.25879137564530796,22.727272727272727,6.756756756756757,0.08640029547202956
CountInnerVariableAssignment,867,23,67,7,-0.3173398117218338,23.333333333333332,9.45945945945946,0.10540506721069842
CountOuterVariableUsage,873,17,56,18,-0.06850895839659854,51.42857142857142,24.324324324324326,0.31900130420561124
CountOuterVariableAssignment,882,8,57,17,0.04858791375645333,68.0,22.972972972972975,0.3697353720299915
CountSideEffects,818,72,47,27,-0.741815973276647,27.27272727272727,36.486486486486484,0.24902992537669316
IsSideEffect,356,534,32,42,-7.284603704828422,7.291666666666667,56.75675675675676,-0.017606104719016788
CountSideEffectCalls,823,67,47,27,-0.6686304281809896,28.723404255319153,36.486486486486484,0.25987339599006304
CountSideEffectFunctions,885,5,72,2,-0.12705739447312459,28.57142857142857,2.7027027027027026,0.06712793082914742
ImperativeScoreCount,831,59,47,27,-0.5515335560279377,31.3953488372093,36.486486486486484,0.2788460640719906
HasPointsCount,404,486,4,70,-6.172183419374429,12.589928057553957,94.5945945945946,0.2154623900464707
ParadigmScoreCount,455,435,25,49,-5.7330701488004845,10.12396694214876,66.21621621621621,0.09232343216669313
