name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,11568,266,1879,189,-0.2184914365028281,41.53846153846154,9.13926499032882,0.13782775443082482
CountNestedDepth,11834,0,2068,0,-0.17475071826939326,0.0,0.0,0.0
CountNestedMethods,10253,1581,1428,640,-0.7092963787585127,28.815848716794235,30.947775628626694,0.17082142836902883
CountFunctions,9151,2683,985,1083,-1.0836487594836242,28.757302177376527,52.369439071566724,0.23778647262323044
IsFunction,11056,778,1736,332,-0.42810604725785995,29.90990990990991,16.054158607350097,0.12445525107853335
CountFunctionParameters,11159,675,1658,410,-0.3252869563455003,37.78801843317972,19.825918762088975,0.18733962622516123
CountHigherOrderCalls,9206,2628,871,1197,-0.987646403880371,31.294117647058822,57.88201160541586,0.2842636930464708
CountFunctionCalls,10254,1580,1580,488,-0.7950736313981057,23.597678916827853,23.597678916827853,0.10246318430094711
CountCurrying,11378,456,1820,248,-0.2929074636272433,35.22727272727273,11.992263056092844,0.1320898721201419
CountPatternMatching,9116,2718,876,1192,-1.0416122250774658,30.485933503836314,57.640232108317214,0.27441747578792136
CountLazyValues,11374,460,1824,244,-0.29745195383331446,34.659090909090914,11.798839458413926,0.12840216998940301
CountParameterLists,11244,590,1698,370,-0.29972419893634994,38.54166666666667,17.891682785299807,0.181133182302126
FunctionalScoreCount,9687,2147,1064,1004,-0.8240447564618094,31.862900666455097,48.54932301740813,0.2584410316576298
CountVariables,9598,2236,1236,832,-0.9723087494348808,27.11864406779661,40.232108317214696,0.18308822644190034
CountVariableDefinitions,10930,904,1711,357,-0.4854802361095083,28.31086439333862,17.263056092843325,0.11924787650706904
CountInnerVariableAssignment,11326,508,1829,239,-0.3275592014485358,31.994645247657296,11.55705996131528,0.11463882547234638
CountOuterVariableUsage,9582,2252,1275,793,-1.0035521196016197,26.042692939244667,38.34622823984526,0.16619453876163062
CountOuterVariableAssignment,9640,2194,1295,773,-0.9819657911227819,26.05325244354567,37.379110251450676,0.16362055741503534
CountSideEffects,9628,2206,1249,819,-0.9626517077469796,27.07438016528926,39.60348162475822,0.18078495216115564
IsSideEffect,7340,4494,1035,1033,-2.140810793670926,18.69006694409264,49.951644100580275,0.08708177172105405
CountSideEffectCalls,9584,2250,1209,859,-0.9649239528500151,27.629462849790933,41.53771760154739,0.1923617403149148
CountSideEffectFunctions,10930,904,1428,640,-0.3247188950697413,41.45077720207254,30.947775628626694,0.26397491036453063
ImperativeScoreCount,9592,2242,1234,834,-0.9745809945379162,27.113133940182056,40.32882011605416,0.18331196261834976
HasPointsCount,3971,7863,260,1808,-3.614361742989498,18.695067728259744,87.4274661508704,0.1622774197940364
ParadigmScoreCount,9040,2794,1033,1035,-1.1739705023292881,27.030556281013318,50.048355899419725,0.2105980866930953
