name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,658,10,54,5,-0.18055414594539743,33.33333333333333,8.47457627118644,0.13403950965514813
CountNestedDepth,668,0,59,0,-0.08832335329341334,0.0,0.0,0.0
CountNestedMethods,615,53,37,22,-0.6601542677357153,29.333333333333332,37.28813559322034,0.2635282356897331
CountFunctions,602,66,36,23,-0.8815081701004772,25.842696629213485,38.983050847457626,0.2424620865051678
IsFunction,629,39,48,11,-0.6048157921445247,22.0,18.64406779661017,0.13817826369220493
CountFunctionParameters,589,79,42,17,-1.231985182178017,17.708333333333336,28.8135593220339,0.13702065780814723
CountHigherOrderCalls,592,76,34,25,-1.029077438343652,24.752475247524753,42.3728813559322,0.24471857410541067
CountFunctionCalls,607,61,44,15,-0.9368466456916678,19.736842105263158,25.423728813559322,0.14540895134788995
CountCurrying,651,17,53,6,-0.2912310971277785,26.08695652173913,10.16949152542373,0.11895425782456714
CountPatternMatching,588,80,34,25,-1.1028620724652392,23.809523809523807,42.3728813559322,0.23613085471176232
CountLazyValues,597,71,54,5,-1.3057698162996045,6.578947368421052,8.47457627118644,-0.01922631984026765
CountParameterLists,551,117,39,20,-1.8776007307419063,14.5985401459854,33.89830508474576,0.11440111570033838
FunctionalScoreCount,590,78,36,23,-1.1028620724652392,22.772277227722775,38.983050847457626,0.21559113412921002
CountVariables,628,40,42,17,-0.5125849994925407,29.82456140350877,28.8135593220339,0.2318784456576512
CountVariableDefinitions,652,16,44,15,-0.10676951182381011,48.38709677419355,25.423728813559322,0.31123955337159726
CountInnerVariableAssignment,634,34,40,19,-0.3650157312493658,35.84905660377358,32.20338983050847,0.28479545206757256
CountOuterVariableUsage,631,37,51,8,-0.6232619506749215,17.77777777777778,13.559322033898304,0.09088910242378193
CountOuterVariableAssignment,77,591,7,52,-10.030802801177307,8.087091757387247,88.13559322033898,-0.0028826523838769657
CountSideEffects,609,59,39,20,-0.8077235359788899,25.31645569620253,33.89830508474576,0.21993669762855003
IsSideEffect,618,50,47,12,-0.7892773774484931,19.35483870967742,20.33898305084746,0.1256736651366877
CountSideEffectCalls,614,54,39,20,-0.7154927433269058,27.027027027027028,33.89830508474576,0.23313369432710407
CountSideEffectFunctions,650,18,52,7,-0.2912310971277785,28.000000000000004,11.864406779661017,0.13741538240323206
ImperativeScoreCount,614,54,39,20,-0.7154927433269058,27.027027027027028,33.89830508474576,0.23313369432710407
HasPointsCount,576,92,30,29,-1.2504313407084142,23.96694214876033,49.152542372881356,0.25938457128082376
ParadigmScoreCount,607,61,35,24,-0.7708312189180964,28.235294117647058,40.67796610169492,0.2680925340234784
