name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,9,881,0,74,-11.89529304585484,7.74869109947644,100.0,0.027992418695808294
CountNestedDepth,890,0,74,0,-0.08314606741573005,0.0,0.0,0.0
CountNestedMethods,803,87,49,25,-0.9906468266018822,22.321428571428573,33.78378378378378,0.1994560131132133
CountFunctions,775,115,44,30,-1.3273003340419067,20.689655172413794,40.54054054054054,0.2056818092586407
IsFunction,864,26,69,5,-0.39052535681749134,16.129032258064516,6.756756756756757,0.057876307344734465
CountFunctionParameters,780,110,56,18,-1.4297600971758269,14.0625,24.324324324324326,0.09386576646627215
CountHigherOrderCalls,756,134,39,35,-1.5322198603097474,20.710059171597635,47.2972972972973,0.22573246972686017
CountFunctionCalls,521,369,49,25,-5.118311569996962,6.345177664974619,33.78378378378378,-0.04157293280525486
CountCurrying,19,871,1,73,-11.763559064682656,7.733050847457627,98.64864864864865,0.014633150640757065
CountPatternMatching,793,97,38,36,-0.9760097175827509,27.06766917293233,48.64864864864865,0.2914062529483696
CountLazyValues,852,38,51,23,-0.3027027027027023,37.704918032786885,31.08108108108108,0.29317157260967786
CountParameterLists,771,119,50,24,-1.4736714242332214,16.783216783216783,32.432432432432435,0.1427682591070905
FunctionalScoreCount,801,89,33,41,-0.7857273003340415,31.538461538461537,55.4054054054054,0.35388627494607333
CountVariables,858,32,51,23,-0.21488004858791343,41.81818181818181,31.08108108108108,0.3154658924187337
CountVariableDefinitions,873,17,69,5,-0.25879137564530796,22.727272727272727,6.756756756756757,0.08640029547202956
CountInnerVariableAssignment,867,23,67,7,-0.3173398117218338,23.333333333333332,9.45945945945946,0.10540506721069842
CountOuterVariableUsage,873,17,56,18,-0.06850895839659854,51.42857142857142,24.324324324324326,0.31900130420561124
CountOuterVariableAssignment,882,8,57,17,0.04858791375645333,68.0,22.972972972972975,0.3697353720299915
CountSideEffects,830,60,48,26,-0.5808077740662005,30.23255813953488,35.13513513513514,0.26517602716366073
IsSideEffect,26,864,2,72,-11.675736410567868,7.6923076923076925,97.2972972972973,0.0034660489263082504
CountSideEffectCalls,823,67,47,27,-0.6686304281809896,28.723404255319153,36.486486486486484,0.25987339599006304
CountSideEffectFunctions,885,5,72,2,-0.12705739447312459,28.57142857142857,2.7027027027027026,0.06712793082914742
ImperativeScoreCount,831,59,47,27,-0.5515335560279377,31.3953488372093,36.486486486486484,0.2788460640719906
HasPointsCount,747,143,44,30,-1.7371393865775882,17.341040462427745,40.54054054054054,0.1697809639217046
ParadigmScoreCount,731,159,42,32,-1.9420589128454289,16.75392670157068,43.24324324324324,0.16949742471128124
