name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,1098,47,237,24,-0.3361575398618013,33.80281690140845,9.195402298850574,0.09039034854827195
CountNestedDepth,115,1030,26,235,-3.9682477538523315,18.57707509881423,90.03831417624522,0.001061178074582293
CountNestedMethods,1014,131,164,97,-0.3879101206310964,42.54385964912281,37.16475095785441,0.2713416200621771
CountFunctions,982,163,140,121,-0.4255483611905839,42.6056338028169,46.36015325670498,0.3111011992515599
IsFunction,455,690,107,154,-2.7497097157389283,18.246445497630333,59.00383141762452,-0.00998677963133404
CountFunctionParameters,1070,75,217,44,-0.3737957804212888,36.97478991596639,16.85823754789272,0.14399103784064812
CountHigherOrderCalls,980,165,129,132,-0.3832053405611606,44.44444444444444,50.57471264367817,0.344475428839245
CountFunctionCalls,1037,108,192,69,-0.4114340209807761,38.983050847457626,26.436781609195403,0.19930741256172568
CountCurrying,1138,7,255,6,-0.23265237832321106,46.15384615384615,2.2988505747126435,0.06855178011404446
CountPatternMatching,1025,120,151,110,-0.27499539895263436,47.82608695652174,42.1455938697318,0.33284210825044663
CountLazyValues,1100,45,216,45,-0.22794759825327526,50.0,17.24137931034483,0.21144264477800223
CountParameterLists,1036,109,200,61,-0.4537770416101994,35.88235294117647,23.371647509578544,0.16519682083817602
FunctionalScoreCount,986,159,138,123,-0.39731968077096824,43.61702127659575,47.12643678160919,0.3227572164481427
CountVariables,1041,104,198,63,-0.4208435811206479,37.72455089820359,24.137931034482758,0.1809292406243536
CountVariableDefinitions,1092,53,235,26,-0.35497666014154494,32.91139240506329,9.961685823754788,0.0900398097230007
CountInnerVariableAssignment,1090,55,236,25,-0.3690910003513528,31.25,9.578544061302683,0.08014643709366573
CountOuterVariableUsage,1082,63,210,51,-0.2844049590925062,44.73684210526316,19.54022988505747,0.19996131793593536
CountOuterVariableAssignment,1099,46,229,32,-0.293814519232378,41.02564102564102,12.260536398467432,0.14001211022355306
CountSideEffects,994,151,154,107,-0.43495792133045574,41.47286821705426,40.99616858237548,0.27933035539736684
IsSideEffect,930,215,150,111,-0.717244725526611,34.04907975460122,42.5287356321839,0.2188226737201413
CountSideEffectCalls,1019,126,169,92,-0.3879101206310964,42.201834862385326,35.24904214559387,0.26043713109129446
CountSideEffectFunctions,1053,92,201,60,-0.3785005604912246,39.473684210526315,22.988505747126435,0.18723945102438488
ImperativeScoreCount,998,147,155,106,-0.4208435811206479,41.89723320158103,40.61302681992337,0.2811226760202711
HasPointsCount,945,200,119,142,-0.5008248423095585,41.52046783625731,54.406130268199234,0.3347517602157453
ParadigmScoreCount,888,257,141,120,-0.8725024678344964,31.830238726790448,45.97701149425287,0.20653612761937626
