name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,3452,0.00028968713789107763,0.017020197939243874,0.0,0.0,0.0,0.0,1.0
IsNested,3452,0.03910776361529548,0.1938794356252668,0.0,0.0,0.0,0.0,1.0
FractionNestedMethods,3452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionFunctions,3452,0.17931633835457705,0.3836725588862634,0.0,0.0,0.0,0.0,1.0
IsFunction,3452,0.06025492468134415,0.23799301840293574,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,3452,0.12253765932792585,0.32795325610987974,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,3452,0.07329084588644265,0.26065106722210896,0.0,0.0,0.0,0.0,1.0
FractionFunctionCalls,3452,0.008400926998841252,0.09128398172372852,0.0,0.0,0.0,0.0,1.0
FractionCurrying,3452,0.013615295480880649,0.11590431748668542,0.0,0.0,0.0,0.0,1.0
FractionPatternMatching,3452,0.024044032444959444,0.15320808298801086,0.0,0.0,0.0,0.0,1.0
FractionLazyValues,3452,0.0028968713789107765,0.0537523628592806,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,3452,0.06778679026651217,0.25141609429602557,0.0,0.0,0.0,0.0,1.0
FunctionalScoreFraction,3452,0.5915411355735806,1.0606189181177696,0.0,0.0,0.0,1.0,5.0
FractionVariables,3452,0.008980301274623407,0.09435165248379512,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,3452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionInnerVariableAssignment,3452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionOuterVariableUsage,3452,0.008980301274623407,0.09435165248379512,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,3452,0.002317497103128621,0.04809154081172192,0.0,0.0,0.0,0.0,1.0
FractionSideEffects,3452,0.15353418308227115,0.3605538749948493,0.0,0.0,0.0,0.0,1.0
IsSideEffect,3452,0.15266512166859791,0.3597165087144845,0.0,0.0,0.0,0.0,1.0
FractionSideEffectCalls,3452,0.012746234067207415,0.1121936450795921,0.0,0.0,0.0,0.0,1.0
FractionSideEffectFunctions,3452,0.0005793742757821553,0.0240667070841044,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,3452,0.3398030127462341,0.8100375559742932,0.0,0.0,0.0,0.0,6.0
HasPointsFraction,3452,0.4316338354577057,0.49537577246522385,0.0,0.0,0.0,1.0,1.0
ParadigmScoreFraction,3452,0.12456546929316338,0.6352069981620484,-1.0,0.0,0.0,1.0,1.0
