name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IsNested,1219,0.009023789991796555,0.09460287017871559,0.0,0.0,0.0,0.0,1.0
FractionNestedMethods,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionFunctions,1219,0.026251025430680888,0.15994654070530562,0.0,0.0,0.0,0.0,1.0
IsFunction,1219,0.006562756357670222,0.08077771578293644,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,1219,0.05086136177194422,0.21980472668639128,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,1219,0.013125512715340444,0.11385898502128622,0.0,0.0,0.0,0.0,1.0
FractionFunctionCalls,1219,0.005742411812961444,0.07559182541810194,0.0,0.0,0.0,0.0,1.0
FractionCurrying,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionPatternMatching,1219,0.003281378178835111,0.05721272556496465,0.0,0.0,0.0,0.0,1.0
FractionLazyValues,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasMultipleParameterLists,1219,0.3092698933552092,0.46238232444750876,0.0,0.0,0.0,1.0,1.0
FunctionalScoreFraction,1219,0.42411812961443807,0.6693690673067462,0.0,0.0,0.0,1.0,5.0
FractionVariables,1219,0.0008203445447087777,0.028641657506310238,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionInnerVariableAssignment,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionOuterVariableUsage,1219,0.0008203445447087777,0.028641657506310238,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionSideEffects,1219,0.17965545529122232,0.38405777404228975,0.0,0.0,0.0,0.0,1.0
IsSideEffect,1219,0.17883511074651354,0.38337146864344823,0.0,0.0,0.0,0.0,1.0
FractionSideEffectCalls,1219,0.002461033634126333,0.04956805955446271,0.0,0.0,0.0,0.0,1.0
FractionSideEffectFunctions,1219,0.0008203445447087777,0.028641657506310227,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,1219,0.3634126333059885,0.7752367102064763,0.0,0.0,0.0,0.0,3.0
HasPointsFraction,1219,0.4479081214109926,0.49748312817196244,0.0,0.0,0.0,1.0,1.0
ParadigmScoreFraction,1219,0.1722723543888433,0.5758001540359302,-1.0,0.0,0.0,1.0,1.0
