name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,10093,0.00029723570791637767,0.0172388167431162,0.0,0.0,0.0,0.0,1.0
IsNested,10093,0.07183196274645794,0.2582222653228041,0.0,0.0,0.0,0.0,1.0
FractionNestedMethods,10093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionFunctions,10093,0.19617556722480928,0.3971225747389759,0.0,0.0,0.0,0.0,1.0
IsFunction,10093,0.04517982760328941,0.20770865489037627,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,10093,0.10700485484989597,0.3091347348018766,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,10093,0.12503715446348954,0.33077742519786635,0.0,0.0,0.0,0.0,1.0
FractionFunctionCalls,10093,0.007529971267214901,0.08645236442271015,0.0,0.0,0.0,0.0,1.0
FractionCurrying,10093,0.018824928168037252,0.1359131357321001,0.0,0.0,0.0,0.0,1.0
FractionPatternMatching,10093,0.035569206380659864,0.18522266888773029,0.0,0.0,0.0,0.0,1.0
FractionLazyValues,10093,0.002972357079163777,0.0544409388529327,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,10093,0.053304270286337066,0.2246506740373175,0.0,0.0,0.0,0.0,1.0
FunctionalScoreFraction,10093,0.6637273357772714,1.0848235388059706,0.0,0.0,0.0,1.0,7.0
FractionVariables,10093,0.009709699791935004,0.09806311385272902,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,10093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionInnerVariableAssignment,10093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionOuterVariableUsage,10093,0.009709699791935004,0.09806311385272902,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,10093,0.0014861785395818884,0.03852423726831474,0.0,0.0,0.0,0.0,1.0
FractionSideEffects,10093,0.15585058951748737,0.3627316080106244,0.0,0.0,0.0,0.0,1.0
IsSideEffect,10093,0.15248191816110176,0.35950519899500355,0.0,0.0,0.0,0.0,1.0
FractionSideEffectCalls,10093,0.010006935499851382,0.09953782391765642,0.0,0.0,0.0,0.0,1.0
FractionSideEffectFunctions,10093,0.0024769642326364807,0.04970989550657933,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,10093,0.34172198553452887,0.7977376398556051,0.0,0.0,0.0,0.0,6.0
HasPointsFraction,10093,0.46814623996829485,0.49900902750085546,0.0,0.0,0.0,1.0,1.0
ParadigmScoreFraction,10093,0.17190131774497175,0.6385327399742706,-1.0,0.0,0.0,1.0,1.0
