name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,1452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IsNested,1452,0.0006887052341597796,0.026243194054074003,0.0,0.0,0.0,0.0,1.0
FractionNestedMethods,1452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionFunctions,1452,0.13085399449035812,0.3373567961208496,0.0,0.0,0.0,0.0,1.0
IsFunction,1452,0.01790633608815427,0.1326567711278099,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,1452,0.1921487603305785,0.3941250994061648,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,1452,0.03443526170798898,0.18240720744470282,0.0,0.0,0.0,0.0,1.0
FractionFunctionCalls,1452,0.02203856749311295,0.14685953438429816,0.0,0.0,0.0,0.0,1.0
FractionCurrying,1452,0.0006887052341597796,0.026243194054074218,0.0,0.0,0.0,0.0,1.0
FractionPatternMatching,1452,0.009641873278236915,0.09775217886497115,0.0,0.0,0.0,0.0,1.0
FractionLazyValues,1452,0.0027548209366391185,0.052432101189872155,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,1452,0.4690082644628099,0.49921052207321115,0.0,0.0,0.0,1.0,1.0
FunctionalScoreFraction,1452,0.8388429752066116,0.9422648405684173,0.0,0.0,1.0,1.0,5.0
FractionVariables,1452,0.02066115702479339,0.14229623561208368,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,1452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionInnerVariableAssignment,1452,0.0006887052341597796,0.0262431940540742,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableUsage,1452,0.02066115702479339,0.14229623561208368,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,1452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionSideEffects,1452,0.18044077134986225,0.3846866473034937,0.0,0.0,0.0,0.0,1.0
IsSideEffect,1452,0.17286501377410468,0.3782608115929756,0.0,0.0,0.0,0.0,1.0
FractionSideEffectCalls,1452,0.01584022038567493,0.12490016669735209,0.0,0.0,0.0,0.0,1.0
FractionSideEffectFunctions,1452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImperativeScoreFraction,1452,0.390495867768595,0.8407230171554271,0.0,0.0,0.0,0.0,6.0
HasPointsFraction,1452,0.6453168044077136,0.478582038873634,0.0,0.0,1.0,1.0,1.0
ParadigmScoreFraction,1452,0.4834710743801653,0.5572671983730767,-1.0,0.0,1.0,1.0,1.0
