name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,13902,0.00021579628830384117,0.014688949612271176,0.0,0.0,0.0,0.0,1.0
IsNested,13902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionNestedMethods,13902,0.0006473888649115235,0.02543651496977104,0.0,0.0,0.0,0.0,1.0
FractionFunctions,13902,0.14256941447273774,0.34964577844509476,0.0,0.0,0.0,0.0,1.0
IsFunction,13902,0.07984462667242123,0.2710622575287274,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,13902,0.07804632426988922,0.26825411793867376,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,13902,0.04891382534887067,0.21569564124314394,0.0,0.0,0.0,0.0,1.0
FractionFunctionCalls,13902,0.012156524241116386,0.10958835264617041,0.0,0.0,0.0,0.0,1.0
FractionCurrying,13902,0.013667098259243275,0.11610890758692481,0.0,0.0,0.0,0.0,1.0
FractionPatternMatching,13902,0.08567112645662495,0.27988786952754163,0.0,0.0,0.0,0.0,1.0
FractionLazyValues,13902,0.008128326859444684,0.08979330230416982,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,13902,0.06905481225722918,0.25355644290447094,0.0,0.0,0.0,0.0,1.0
FunctionalScoreFraction,13902,0.46216371745072654,0.8929298953195888,0.0,0.0,0.0,1.0,6.0
FractionVariables,13902,0.0649546827794562,0.24645474455926944,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,13902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionInnerVariableAssignment,13902,0.002373759171342253,0.04866512914959821,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableUsage,13902,0.06488275068335492,0.2463277166615071,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,13902,0.01668824629549705,0.12810514901287018,0.0,0.0,0.0,0.0,1.0
FractionSideEffects,13902,0.3991512012660049,0.48974153639961143,0.0,0.0,0.0,1.0,1.0
IsSideEffect,13902,0.39756869515177673,0.4894129721682284,0.0,0.0,0.0,1.0,1.0
FractionSideEffectCalls,13902,0.14846784635304272,0.3555759266770234,0.0,0.0,0.0,0.0,1.0
FractionSideEffectFunctions,13902,0.0055387713997985906,0.07421919999828729,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,13902,1.036973097396058,1.3971462129344203,0.0,0.0,0.0,2.0,6.0
HasPointsFraction,13902,0.5331606963026903,0.49891710076310586,0.0,0.0,1.0,1.0,1.0
ParadigmScoreFraction,13902,0.04977701050208603,0.6252000217291489,-1.0,0.0,0.0,0.0,1.0
