name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IsNested,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionNestedMethods,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionFunctions,335,0.0955223880597015,0.8096411631828203,0.0,0.0,0.0,0.0,14.0
IsFunction,335,0.023880597014925373,0.1529055442445438,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,335,0.1791044776119403,0.8707724758055988,0.0,0.0,0.0,0.0,10.0
FractionHigherOrderCalls,335,0.04776119402985075,0.27487515345442615,0.0,0.0,0.0,0.0,3.0
FractionFunctionCalls,335,0.020895522388059702,0.14324857319500853,0.0,0.0,0.0,0.0,1.0
FractionCurrying,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionPatternMatching,335,0.008955223880597015,0.09434828978579117,0.0,0.0,0.0,0.0,1.0
FractionLazyValues,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasMultipleParameterLists,335,1.1194029850746268,3.7269145225071845,0.0,0.0,0.0,0.0,38.0
FunctionalScoreFraction,335,1.4955223880597015,4.220616382171605,0.0,0.0,0.0,1.0,38.0
FractionVariables,335,0.0029850746268656717,0.054635836470815366,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionInnerVariableAssignment,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionOuterVariableUsage,335,0.0029850746268656717,0.054635836470815366,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionSideEffects,335,0.6447761194029851,2.030256435094441,0.0,0.0,0.0,0.0,25.0
IsSideEffect,335,0.6417910447761194,2.0275164931165643,0.0,0.0,0.0,0.0,25.0
FractionSideEffectCalls,335,0.008955223880597015,0.16390750941244592,0.0,0.0,0.0,0.0,3.0
FractionSideEffectFunctions,335,0.0029850746268656717,0.05463583647081563,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,335,1.3044776119402985,4.102337322518804,0.0,0.0,0.0,0.0,50.0
HasPointsFraction,335,1.5940298507462687,4.196800912992882,0.0,0.0,0.0,2.0,38.0
ParadigmScoreFraction,335,0.6,3.144427634673859,-9.0,0.0,0.0,0.0,36.0
