name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IsNested,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionNestedMethods,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionFunctions,1168,0.23886986301369864,1.1503716877151124,0.0,0.0,0.0,0.0,15.0
IsFunction,1168,0.007705479452054794,0.096780437223005,0.0,0.0,0.0,0.0,2.0
HasFunctionParameters,1168,0.2208904109589041,1.1958978277312897,0.0,0.0,0.0,0.0,15.0
FractionHigherOrderCalls,1168,0.1284246575342466,0.49741086395798484,0.0,0.0,0.0,0.0,5.0
FractionFunctionCalls,1168,0.019691780821917807,0.27545566990881654,0.0,0.0,0.0,0.0,6.0
FractionCurrying,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionPatternMatching,1168,0.2046232876712329,0.8801802389262312,0.0,0.0,0.0,0.0,15.0
FractionLazyValues,1168,0.028253424657534245,0.1986838376427364,0.0,0.0,0.0,0.0,3.0
HasMultipleParameterLists,1168,0.827054794520548,3.530873147387477,0.0,0.0,0.0,0.0,44.0
FunctionalScoreFraction,1168,1.6755136986301369,5.029137013622139,0.0,0.0,0.0,1.0,44.0
FractionVariables,1168,0.0916095890410959,0.6708509055095438,0.0,0.0,0.0,0.0,9.0
FractionVariableDefinitions,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionInnerVariableAssignment,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionOuterVariableUsage,1168,0.0916095890410959,0.6708509055095438,0.0,0.0,0.0,0.0,9.0
FractionOuterVariableAssignment,1168,0.011986301369863013,0.18005091106358406,0.0,0.0,0.0,0.0,5.0
FractionSideEffects,1168,0.6301369863013698,2.592292837960158,0.0,0.0,0.0,0.0,33.0
IsSideEffect,1168,0.6232876712328768,2.5846834090576283,0.0,0.0,0.0,0.0,33.0
FractionSideEffectCalls,1168,0.07191780821917808,0.5381415416597951,0.0,0.0,0.0,0.0,12.0
FractionSideEffectFunctions,1168,0.0025684931506849314,0.0506368569052974,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,1168,1.5231164383561644,6.361124421371402,0.0,0.0,0.0,0.0,66.0
HasPointsFraction,1168,1.7474315068493151,4.825533016145022,0.0,0.0,0.0,1.0,44.0
ParadigmScoreFraction,1168,0.5419520547945206,3.943685020615789,-32.0,0.0,0.0,1.0,42.0
