name,count,mean mean,mean std,std mean,std std
FractionCurrying,9,0.016524895745956232,0.027203787006657775,0.1587338725484097,0.1926336834573599
FractionFunctionCalls,9,0.02636342352231419,0.015395907417761177,0.21575894544338695,0.08687559986518988
FractionFunctions,9,0.4916700261306135,0.4079024992219327,2.164691101251612,1.8514734502836327
FractionHigherOrderCalls,9,0.1797841532476032,0.16675412738850898,0.9475387265960392,0.8335750198339424
FractionInnerVariableAssignment,9,0.001757641574677089,0.0043277730342685065,0.020922308583235197,0.03880014953037336
FractionLazyValues,9,0.028896935918464945,0.0395150633319405,0.3134453936865463,0.5514747384486642
FractionNestedMethods,9,8.7917006346e-05,0.000263751019038,0.0038846126893710333,0.011653838068113102
FractionOuterVariableAssignment,9,0.00895496079590271,0.013240344764694937,0.1526932209759871,0.2716214368890914
FractionOuterVariableUsage,9,0.04520485611952055,0.04596391037257869,0.4791579010996935,0.446309848762916
FractionPatternMatching,9,0.07642739156311726,0.06626999691893617,0.38324318438764704,0.24405085865089865
FractionRecursiveCalls,9,0.0010913722554254776,0.0022638910675113855,0.018880443497646324,0.028659239374482073
FractionSideEffectCalls,9,0.05412670514500819,0.08200471093988473,0.3955019690362256,0.3712407907807499
FractionSideEffectFunctions,9,0.004386833376431667,0.004895194403010472,0.059090003849893255,0.05288333978161251
FractionSideEffects,9,0.5058595453362235,0.4564735134130116,1.5730182439257645,1.109475201346414
FractionVariableDefinitions,9,0.0,0.0,0.0,0.0
FractionVariables,9,0.04524481839513238,0.046051827958601174,0.4793517602209944,0.44639446955679835
FunctionalScoreFraction,9,2.6055522132935574,2.0617577614844755,10.269992245057757,10.912622179754315
HasFunctionParameters,9,0.6484229860174753,0.825834571718873,3.3038173203380463,4.300660405359494
HasMultipleParameterLists,9,1.0337235047442235,0.9642247283189876,4.716344893351816,5.387625694868712
HasPointsFraction,9,2.0554370644361333,1.0434895901374974,6.783276919969527,5.972468367369423
ImperativeScoreFraction,9,1.159742036535678,1.0636818651206836,4.023198766607275,2.711665192011567
IsFunction,9,0.10172867225075252,0.06423511997840106,0.5640812931339532,0.28130312198506136
IsNested,9,0.0008309348912649777,0.0016036847482525799,0.02403762281451942,0.04634626351705335
IsSideEffect,9,0.494206675792782,0.45949378246379086,1.557349942994942,1.1127940858831764
ParadigmScoreFraction,9,1.0858210948780056,1.4476202070869821,6.448286503243323,6.0970680064429565
