name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsNested,129,4,125,3.10077519379845,5.333333333333334
FractionFunctions,204,2,202,0.9803921568627451,2.666666666666667
IsFunction,84,2,82,2.380952380952381,2.666666666666667
HasFunctionParameters,324,12,312,3.7037037037037033,16.0
FractionHigherOrderCalls,39,1,38,2.564102564102564,1.3333333333333335
FractionFunctionCalls,20,0,20,0.0,0.0
FractionCurrying,4,0,4,0.0,0.0
FractionPatternMatching,30,1,29,3.3333333333333335,1.3333333333333335
FractionLazyValues,12,0,12,0.0,0.0
HasMultipleParameterLists,691,39,652,5.643994211287988,52.0
FunctionalScoreFraction,1062,47,1015,4.425612052730696,62.66666666666667
FractionSideEffects,43,0,43,0.0,0.0
IsSideEffect,43,0,43,0.0,0.0
FractionSideEffectCalls,3,0,3,0.0,0.0
ImperativeScoreFraction,43,0,43,0.0,0.0
HasPointsFraction,1089,47,1042,4.315886134067952,62.66666666666667
ParadigmScoreFraction,1073,47,1026,4.380242311276794,62.66666666666667
