name,count,percentage_faulty,percentage_total_faults
FractionCurrying,7,0.0,0.0
FractionFunctionCalls,9,0.0,0.0
FractionFunctions,9,2.949852507374631,2.948801036941024
FractionHigherOrderCalls,9,1.4285714285714286,0.8130081300813009
FractionInnerVariableAssignment,3,0.0,0.0
FractionLazyValues,7,0.0,0.0
FractionNestedMethods,1,0.0,0.0
FractionOuterVariableAssignment,5,0.0,0.0
FractionOuterVariableUsage,8,0.33783783783783783,0.0648088139987038
FractionPatternMatching,9,3.333333333333333,0.5508749189889824
FractionRecursiveCalls,4,0.0,0.0
FractionSideEffectCalls,9,0.0,0.0
FractionSideEffectFunctions,6,2.380952380952381,0.03955696202531645
FractionSideEffects,9,8.51063829787234,9.75609756097561
FractionVariables,8,0.3184713375796179,0.0648088139987038
FunctionalScoreFraction,9,7.942838152210037,39.83739837398374
HasFunctionParameters,9,7.910271546635183,5.3006329113924044
HasMultipleParameterLists,9,6.382978723404255,24.390243902439025
HasPointsFraction,9,8.152104794607656,50.7120253164557
ImperativeScoreFraction,9,8.16326530612245,9.75609756097561
IsFunction,9,2.380952380952381,1.1017498379779649
IsNested,9,6.741573033707865,2.848101265822785
IsSideEffect,9,8.832997987927566,9.75609756097561
ParadigmScoreFraction,9,8.064733648010789,49.59349593495935
