name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,3,1,2,33.33333333333333,0.0349283967865875
IsNested,1377,93,1284,6.753812636165578,3.2483409011526367
FractionNestedMethods,11,0,11,0.0,0.0
FractionFunctions,4242,185,4057,4.3611504007543616,6.461753405518687
IsFunction,1765,131,1634,7.422096317280453,4.575619979042962
HasFunctionParameters,3063,166,2897,5.419523343127652,5.798113866573525
FractionHigherOrderCalls,1284,33,1251,2.570093457943925,1.1526370939573873
FractionFunctionCalls,252,5,247,1.984126984126984,0.17464198393293748
FractionCurrying,205,12,193,5.853658536585367,0.41914076143905
FractionPatternMatching,1895,139,1756,7.33509234828496,4.855047153335662
FractionLazyValues,173,6,167,3.4682080924855487,0.209570380719525
HasMultipleParameterLists,2516,68,2448,2.7027027027027026,2.3751309814879495
FunctionalScoreFraction,10265,556,9709,5.416463711641501,19.42018861334265
FractionVariables,1899,36,1863,1.8957345971563981,1.2574222843171499
FractionInnerVariableAssignment,33,0,33,0.0,0.0
FractionOuterVariableUsage,1887,34,1853,1.8018018018018018,1.1875654907439748
FractionOuterVariableAssignment,243,2,241,0.823045267489712,0.069856793573175
FractionSideEffects,21183,1123,20060,5.301420950762404,39.224589591337754
IsSideEffect,21040,1119,19921,5.318441064638783,39.08487600419141
FractionSideEffectCalls,3648,106,3542,2.905701754385965,3.7024100593782743
FractionSideEffectFunctions,103,6,97,5.825242718446602,0.209570380719525
ImperativeScoreFraction,22594,1149,21445,5.085420908205719,40.13272790778903
HasPointsFraction,30506,1558,28948,5.107192027797811,54.41844219350331
ParadigmScoreFraction,28153,1411,26742,5.011899264732,49.283967865874956
