name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsNested,223,8,215,3.587443946188341,7.547169811320755
FractionFunctions,297,1,296,0.33670033670033667,0.9433962264150944
IsFunction,9,0,9,0.0,0.0
HasFunctionParameters,263,1,262,0.38022813688212925,0.9433962264150944
FractionHigherOrderCalls,169,1,168,0.591715976331361,0.9433962264150944
FractionFunctionCalls,23,0,23,0.0,0.0
FractionPatternMatching,269,10,259,3.717472118959108,9.433962264150944
FractionLazyValues,33,2,31,6.0606060606060606,1.8867924528301887
HasMultipleParameterLists,971,23,948,2.368692070030896,21.69811320754717
FunctionalScoreFraction,1689,43,1646,2.5458851391355832,40.56603773584906
FractionVariables,107,2,105,1.8691588785046727,1.8867924528301887
FractionOuterVariableUsage,107,2,105,1.8691588785046727,1.8867924528301887
FractionOuterVariableAssignment,14,0,14,0.0,0.0
FractionSideEffects,763,24,739,3.1454783748361725,22.641509433962266
IsSideEffect,755,24,731,3.1788079470198674,22.641509433962266
FractionSideEffectCalls,84,0,84,0.0,0.0
FractionSideEffectFunctions,3,0,3,0.0,0.0
ImperativeScoreFraction,858,26,832,3.0303030303030303,24.528301886792452
HasPointsFraction,2266,63,2203,2.7802294792586055,59.43396226415094
ParadigmScoreFraction,1985,57,1928,2.871536523929471,53.77358490566038
