name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsNested,1347,19,1328,1.4105419450631032,9.5
FractionFunctions,1900,16,1884,0.8421052631578947,8.0
IsFunction,376,8,368,2.127659574468085,4.0
HasFunctionParameters,2874,33,2841,1.1482254697286012,16.5
FractionHigherOrderCalls,423,3,420,0.7092198581560284,1.5
FractionFunctionCalls,81,0,81,0.0,0.0
FractionCurrying,13,0,13,0.0,0.0
FractionPatternMatching,70,0,70,0.0,0.0
HasMultipleParameterLists,3043,51,2992,1.675977653631285,25.5
FunctionalScoreFraction,6119,86,6033,1.40545840823664,43.0
FractionVariables,49,0,49,0.0,0.0
FractionInnerVariableAssignment,22,0,22,0.0,0.0
FractionOuterVariableUsage,45,0,45,0.0,0.0
FractionSideEffects,300,15,285,5.0,7.5
IsSideEffect,225,15,210,6.666666666666667,7.5
FractionSideEffectCalls,35,0,35,0.0,0.0
FractionSideEffectFunctions,21,0,21,0.0,0.0
ImperativeScoreFraction,327,15,312,4.587155963302752,7.5
HasPointsFraction,6352,101,6251,1.5900503778337534,50.5
ParadigmScoreFraction,6258,101,6157,1.613934164269735,50.5
