name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,24,3,21,12.5,0.03357582540570789
IsNested,852,112,740,13.145539906103288,1.2534974818130946
FractionFunctions,5682,297,5385,5.227032734952481,3.3240067151650807
IsFunction,1480,89,1391,6.013513513513514,0.9960828203693342
HasFunctionParameters,3609,293,3316,8.118592407869215,3.2792389479574706
FractionHigherOrderCalls,4342,391,3951,9.005066789497928,4.376049244543928
FractionFunctionCalls,392,19,373,4.846938775510204,0.21264689423615
FractionCurrying,449,9,440,2.0044543429844097,0.10072747621712368
FractionPatternMatching,1216,315,901,25.904605263157894,3.5254616675993287
FractionLazyValues,1610,45,1565,2.7950310559006213,0.5036373810856184
HasMultipleParameterLists,10241,1960,8281,19.138755980861244,21.936205931729155
FunctionalScoreFraction,20505,2891,17614,14.099000243842966,32.3559037493005
FractionVariables,152,5,147,3.289473684210526,0.05595970900951316
FractionOuterVariableUsage,150,3,147,2.0,0.03357582540570789
FractionOuterVariableAssignment,45,0,45,0.0,0.0
FractionSideEffects,1824,189,1635,10.361842105263158,2.115277000559597
IsSideEffect,1754,175,1579,9.977194982896236,1.9585898153329604
FractionSideEffectCalls,181,16,165,8.83977900552486,0.17907106883044208
FractionSideEffectFunctions,63,14,49,22.22222222222222,0.15668718522663683
ImperativeScoreFraction,1959,194,1765,9.903011740684024,2.1712367095691105
HasPointsFraction,22117,3044,19073,13.763168603336801,34.0682708449916
ParadigmScoreFraction,21770,3003,18767,13.794212218649518,33.6094012311136
