name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
FractionCurrying,7,26.857142857142858,25.996336738269946,1.1742841798281893,1.4360604689858645
FractionFunctionCalls,9,14.735036975603013,17.996885879695743,1.1918907334669315,1.2178247738194188
FractionFunctions,9,25.469865411338073,17.50411417297808,21.538319563247924,8.15523365144207
FractionHigherOrderCalls,9,30.001889200118722,17.146625485652976,12.17880518974997,6.119987890528062
FractionInnerVariableAssignment,3,66.66666666666667,57.735026918962575,0.2879604081811413,0.29073633380048897
FractionLazyValues,7,26.126537571550358,30.140050849082485,2.9427613183937944,5.979922572678063
FractionNestedMethods,1,50.0,,0.1412429378531073,
FractionOuterVariableAssignment,5,36.44444444444444,27.255082208146785,1.5590242703426087,1.8940262305782143
FractionOuterVariableUsage,8,19.902984363081615,22.952909155622365,3.0879296652836,4.5677047670275375
FractionPatternMatching,9,34.21934896709541,30.261723830388103,7.9418352457460015,9.956171096646687
FractionRecursiveCalls,3,0.0,0.0,0.0,0.0
FractionSideEffectCalls,9,18.122233805758267,18.590724194509423,3.8981628049937993,5.5905555580444215
FractionSideEffectFunctions,6,45.767195767195766,42.68237931893191,0.4684341614737271,0.4694041990423142
FractionSideEffects,9,25.88006508910399,20.433417588679614,30.46978691294168,19.870776257698303
FractionVariables,8,19.882053105737317,22.94144002866619,3.0879296652836,4.5677047670275375
FunctionalScoreFraction,9,25.178953256312937,21.14384523197188,52.62720215473253,13.595801313717645
HasFunctionParameters,9,28.663291800588013,21.76626933079,20.741424656843908,8.95715046349305
HasMultipleParameterLists,9,28.892283991077793,23.5822233236603,36.8768800154585,20.325995222500804
HasPointsFraction,9,24.582221816522765,21.035074502053742,65.36993265301462,10.166795275995906
ImperativeScoreFraction,9,25.7701068301015,20.71338858209988,30.639402589265885,19.766726807357156
IsFunction,9,24.84570264920935,23.213673383217525,6.884145379587259,6.811679719823132
IsNested,4,75.0,50.0,0.42258825588713966,0.6247360037773133
IsSideEffect,9,25.624969619877135,20.253864175078533,29.92432840281103,20.15134482640617
ParadigmScoreFraction,9,24.43675858403235,21.03353230579533,57.84356869491798,16.664859059729874
