name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionFunctions,15,5,10,33.33333333333333,6.172839506172839
IsFunction,8,2,6,25.0,2.4691358024691357
HasFunctionParameters,26,12,14,46.15384615384615,14.814814814814813
FractionHigherOrderCalls,12,5,7,41.66666666666667,6.172839506172839
FractionFunctionCalls,7,2,5,28.57142857142857,2.4691358024691357
FractionPatternMatching,3,3,0,100.0,3.7037037037037033
HasMultipleParameterLists,80,33,47,41.25,40.74074074074074
FunctionalScoreFraction,93,38,55,40.86021505376344,46.913580246913575
FractionVariables,1,0,1,0.0,0.0
FractionOuterVariableUsage,1,0,1,0.0,0.0
FractionSideEffects,73,34,39,46.57534246575342,41.9753086419753
IsSideEffect,73,34,39,46.57534246575342,41.9753086419753
FractionSideEffectCalls,1,0,1,0.0,0.0
FractionSideEffectFunctions,1,1,0,100.0,1.2345679012345678
ImperativeScoreFraction,73,34,39,46.57534246575342,41.9753086419753
HasPointsFraction,127,53,74,41.732283464566926,65.4320987654321
ParadigmScoreFraction,103,45,58,43.689320388349515,55.55555555555556
