name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsNested,1,1,0,100.0,1.3513513513513513
FractionFunctions,97,12,85,12.371134020618557,16.216216216216218
IsFunction,31,5,26,16.129032258064516,6.756756756756757
HasFunctionParameters,128,18,110,14.0625,24.324324324324326
FractionHigherOrderCalls,23,5,18,21.73913043478261,6.756756756756757
FractionFunctionCalls,14,0,14,0.0,0.0
FractionCurrying,1,0,1,0.0,0.0
FractionPatternMatching,18,3,15,16.666666666666664,4.054054054054054
FractionLazyValues,10,0,10,0.0,0.0
HasMultipleParameterLists,241,41,200,17.012448132780083,55.4054054054054
FunctionalScoreFraction,328,47,281,14.329268292682926,63.51351351351351
FractionSideEffects,28,2,26,7.142857142857142,2.7027027027027026
IsSideEffect,28,2,26,7.142857142857142,2.7027027027027026
FractionSideEffectCalls,3,0,3,0.0,0.0
ImperativeScoreFraction,28,2,26,7.142857142857142,2.7027027027027026
HasPointsFraction,341,47,294,13.78299120234604,63.51351351351351
ParadigmScoreFraction,326,47,279,14.417177914110429,63.51351351351351
