name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,2,0,2,0.0,0.0
IsNested,3,3,0,100.0,0.1977587343441002
FractionFunctions,401,252,149,62.84289276807981,16.61173368490442
IsFunction,89,68,21,76.40449438202246,4.482531311799605
HasFunctionParameters,215,162,53,75.34883720930232,10.67897165458141
FractionHigherOrderCalls,318,203,115,63.83647798742138,13.381674357284112
FractionFunctionCalls,53,29,24,54.71698113207547,1.911667765326302
FractionCurrying,10,6,4,60.0,0.3955174686882004
FractionPatternMatching,53,33,20,62.264150943396224,2.175346077785102
FractionLazyValues,51,41,10,80.3921568627451,2.7027027027027026
HasMultipleParameterLists,604,489,115,80.96026490066225,32.234673698088336
FunctionalScoreFraction,1025,732,293,71.41463414634146,48.25313117996045
FractionVariables,24,16,8,66.66666666666666,1.054713249835201
FractionOuterVariableUsage,24,16,8,66.66666666666666,1.054713249835201
FractionOuterVariableAssignment,6,4,2,66.66666666666666,0.26367831245880025
FractionSideEffects,151,97,54,64.23841059602648,6.394199077125906
IsSideEffect,147,93,54,63.26530612244898,6.130520764667106
FractionSideEffectCalls,23,13,10,56.52173913043478,0.8569545154911009
FractionSideEffectFunctions,9,8,1,88.88888888888889,0.5273566249176005
ImperativeScoreFraction,159,104,55,65.40880503144653,6.855636123928807
HasPointsFraction,1103,771,332,69.90027198549411,50.82399472643375
ParadigmScoreFraction,1020,722,298,70.7843137254902,47.59393539881345
