name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,2,2,0,100.0,0.2232142857142857
FractionFunctions,529,276,253,52.17391304347826,30.80357142857143
IsFunction,213,121,92,56.8075117370892,13.504464285714285
HasFunctionParameters,275,153,122,55.63636363636364,17.075892857142858
FractionHigherOrderCalls,319,168,151,52.66457680250783,18.75
FractionFunctionCalls,46,15,31,32.608695652173914,1.6741071428571428
FractionCurrying,78,53,25,67.94871794871796,5.915178571428571
FractionPatternMatching,185,87,98,47.02702702702703,9.709821428571429
FractionLazyValues,15,8,7,53.333333333333336,0.8928571428571428
HasMultipleParameterLists,197,124,73,62.944162436548226,13.839285714285715
FunctionalScoreFraction,772,382,390,49.48186528497409,42.63392857142857
FractionVariables,51,18,33,35.294117647058826,2.0089285714285716
FractionOuterVariableUsage,51,18,33,35.294117647058826,2.0089285714285716
FractionOuterVariableAssignment,10,4,6,40.0,0.4464285714285714
FractionSideEffects,472,270,202,57.20338983050848,30.13392857142857
IsSideEffect,463,267,196,57.66738660907127,29.799107142857146
FractionSideEffectCalls,70,40,30,57.14285714285714,4.464285714285714
FractionSideEffectFunctions,23,17,6,73.91304347826086,1.8973214285714284
ImperativeScoreFraction,492,273,219,55.487804878048784,30.46875
HasPointsFraction,1100,548,552,49.81818181818182,61.16071428571429
ParadigmScoreFraction,876,424,452,48.401826484018265,47.32142857142857
