name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsNested,2,0,2,0.0,0.0
FractionFunctions,41,13,28,31.70731707317073,4.980842911877394
IsFunction,11,2,9,18.181818181818183,0.7662835249042145
HasFunctionParameters,119,44,75,36.97478991596639,16.85823754789272
FractionHigherOrderCalls,24,12,12,50.0,4.597701149425287
FractionFunctionCalls,9,5,4,55.55555555555556,1.9157088122605364
FractionPatternMatching,25,6,19,24.0,2.2988505747126435
FractionLazyValues,2,0,2,0.0,0.0
HasMultipleParameterLists,170,61,109,35.88235294117647,23.371647509578544
FunctionalScoreFraction,285,93,192,32.631578947368425,35.63218390804598
FractionVariables,20,11,9,55.00000000000001,4.21455938697318
FractionOuterVariableUsage,20,11,9,55.00000000000001,4.21455938697318
FractionOuterVariableAssignment,2,0,2,0.0,0.0
FractionSideEffects,328,111,217,33.84146341463415,42.5287356321839
IsSideEffect,326,111,215,34.04907975460122,42.5287356321839
FractionSideEffectCalls,22,6,16,27.27272727272727,2.2988505747126435
FractionSideEffectFunctions,6,2,4,33.33333333333333,0.7662835249042145
ImperativeScoreFraction,330,111,219,33.63636363636363,42.5287356321839
HasPointsFraction,502,159,343,31.673306772908365,60.91954022988506
ParadigmScoreFraction,446,139,307,31.16591928251121,53.25670498084292
