name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,6,0,6,0.0,0.0
FractionFunctions,60,1,59,1.6666666666666667,20.0
IsFunction,49,0,49,0.0,0.0
HasFunctionParameters,29,1,28,3.4482758620689653,20.0
FractionHigherOrderCalls,11,1,10,9.090909090909092,20.0
FractionFunctionCalls,3,0,3,0.0,0.0
FractionCurrying,2,0,2,0.0,0.0
FractionPatternMatching,12,0,12,0.0,0.0
FractionLazyValues,52,0,52,0.0,0.0
HasMultipleParameterLists,53,1,52,1.8867924528301887,20.0
FunctionalScoreFraction,158,2,156,1.2658227848101267,40.0
FractionVariables,11,0,11,0.0,0.0
FractionOuterVariableUsage,11,0,11,0.0,0.0
FractionOuterVariableAssignment,2,0,2,0.0,0.0
FractionSideEffects,194,3,191,1.5463917525773196,60.0
IsSideEffect,194,3,191,1.5463917525773196,60.0
FractionSideEffectCalls,14,0,14,0.0,0.0
ImperativeScoreFraction,197,3,194,1.5228426395939088,60.0
HasPointsFraction,332,3,329,0.9036144578313252,60.0
ParadigmScoreFraction,322,1,321,0.3105590062111801,20.0
