name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsNested,3,1,2,33.33333333333333,1.0309278350515463
FractionFunctions,111,16,95,14.414414414414415,16.49484536082474
IsFunction,34,4,30,11.76470588235294,4.123711340206185
HasFunctionParameters,140,26,114,18.571428571428573,26.804123711340207
FractionHigherOrderCalls,29,10,19,34.48275862068966,10.309278350515463
FractionFunctionCalls,16,0,16,0.0,0.0
FractionCurrying,1,0,1,0.0,0.0
FractionPatternMatching,25,8,17,32.0,8.24742268041237
FractionLazyValues,13,1,12,7.6923076923076925,1.0309278350515463
HasMultipleParameterLists,265,52,213,19.622641509433965,53.608247422680414
FunctionalScoreFraction,374,70,304,18.71657754010695,72.16494845360825
FractionSideEffects,29,3,26,10.344827586206897,3.0927835051546393
IsSideEffect,29,3,26,10.344827586206897,3.0927835051546393
FractionSideEffectCalls,3,0,3,0.0,0.0
ImperativeScoreFraction,29,3,26,10.344827586206897,3.0927835051546393
HasPointsFraction,387,70,317,18.087855297157624,72.16494845360825
ParadigmScoreFraction,380,69,311,18.157894736842106,71.1340206185567
