name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
IsNested,2866,444,68,7,-5.98134944612286,1.5521064301552108,9.333333333333334,-0.017674473723852693
FractionNestedMethods,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
FractionFunctions,202,3108,2,73,-41.40624370594159,2.2948758252121975,97.33333333333334,0.021252375677661174
IsFunction,2602,708,62,13,-9.499295065458208,1.8030513176144243,17.333333333333336,-0.014583108243258688
HasFunctionParameters,2998,312,63,12,-4.113293051359517,3.7037037037037033,16.0,0.032890566665924825
FractionHigherOrderCalls,2947,363,68,7,-4.876878147029204,1.891891891891892,9.333333333333334,-0.007705515700626195
FractionFunctionCalls,20,3290,0,75,-43.86062437059416,2.2288261515601784,100.0,0.011604838431393257
FractionCurrying,4,3306,0,75,-44.0787915407855,2.218278615794144,100.0,0.005177546941929246
FractionPatternMatching,2954,356,68,7,-4.781430010070494,1.9283746556473829,9.333333333333334,-0.006764403947120612
FractionLazyValues,12,3298,0,75,-43.969707955689834,2.223539875481767,100.0,0.008978402839042391
HasMultipleParameterLists,2658,652,36,39,-8.381188318227593,5.643994211287988,52.0,0.11796081528494244
FunctionalScoreFraction,2295,1015,28,47,-13.221772406847936,4.425612052730696,62.66666666666667,0.10151613568009149
FractionVariables,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
FractionVariableDefinitions,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
FractionInnerVariableAssignment,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
FractionOuterVariableUsage,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
FractionOuterVariableAssignment,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
FractionSideEffects,43,3267,0,75,-43.54700906344411,2.244165170556553,100.0,0.01707448603959751
IsSideEffect,43,3267,0,75,-43.54700906344411,2.244165170556553,100.0,0.01707448603959751
FractionSideEffectCalls,3,3307,0,75,-44.09242698892246,2.2176227084565348,100.0,0.004483224227318517
FractionSideEffectFunctions,3310,0,75,0,-0.0226586102719033,0.0,0.0,0.0
ImperativeScoreFraction,43,3267,0,75,-43.54700906344411,2.244165170556553,100.0,0.01707448603959751
HasPointsFraction,2268,1042,28,47,-13.589929506545822,4.315886134067952,62.66666666666667,0.09826721699365318
ParadigmScoreFraction,2311,999,28,47,-13.003605236656597,4.493307839388145,62.66666666666667,0.10347891454782042
