name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,59039,14779,7151,1784,-1.7514748496745192,10.770995592585884,19.96642417459429,-0.0004222449388104045
IsNested,73078,740,8823,112,-0.19983374315720148,13.145539906103288,1.2534974818130946,0.007717791298509625
FractionNestedMethods,73818,0,8935,0,-0.12104093852447928,0.0,0.0,0.0
FractionFunctions,5385,68433,297,8638,-7.623295322304136,11.207847309623594,96.67599328483492,0.04873354835752433
IsFunction,1391,72427,89,8846,-8.098310542589942,10.88430352023427,99.00391717963066,0.02080055839869456
HasFunctionParameters,3316,70502,293,8642,-7.882383127346447,10.91933690488224,96.72076105204252,0.018430941250086326
FractionHigherOrderCalls,3951,69867,391,8544,-7.815007751410505,10.896430347782838,95.62395075545606,0.013588765598542139
FractionFunctionCalls,373,73445,19,8916,-8.217252547035518,10.825512074889815,99.78735310576386,0.013227354152980592
FractionCurrying,440,73378,9,8926,-8.207591645830549,10.845159409020217,99.89927252378288,0.020926284650244903
FractionPatternMatching,72917,901,8620,315,-0.19456416068176452,25.904605263157894,3.5254616675993287,0.05944767505426187
FractionLazyValues,1565,72253,45,8890,-8.070958900217438,10.955966626819318,99.49636261891438,0.036320348060474385
HasMultipleParameterLists,65537,8281,6975,1960,-0.914113101077723,19.138755980861244,21.936205931729155,0.1010110943716102
FunctionalScoreFraction,56204,17614,6044,2891,-1.9682805286639207,14.099000243842966,32.3559037493005,0.06106247616720855
FractionVariables,147,73671,5,8930,-8.243851391911532,10.811007130664278,99.94404029099049,0.01037749235119894
FractionVariableDefinitions,73818,0,8935,0,-0.12104093852447928,0.0,0.0,0.0
FractionInnerVariableAssignment,73818,0,8935,0,-0.12104093852447928,0.0,0.0,0.0
FractionOuterVariableUsage,147,73671,3,8932,-8.2436004594127,10.813166592012397,99.9664241745943,0.012079448418655438
FractionOuterVariableAssignment,45,73773,0,8935,-8.256021618104802,10.803066208831067,100.0,0.008115188994813985
FractionSideEffects,1635,72183,189,8746,-8.080243402674158,10.807003669883478,97.8847229994404,0.0021059776050002814
IsSideEffect,1579,72239,175,8760,-8.085512985149595,10.814948332695465,98.04141018466704,0.0038881443546512177
FractionSideEffectCalls,165,73653,16,8919,-8.242973128165625,10.80148234268275,99.82092893116956,0.0029529806736449827
FractionSideEffectFunctions,73769,49,8921,14,-0.12543225725400986,22.22222222222222,0.15668718522663683,0.010161468641977776
ImperativeScoreFraction,1765,72053,194,8741,-8.064560121497264,10.818872688565982,97.82876329043089,0.004486502339615784
HasPointsFraction,54745,19073,5891,3044,-2.132139450400123,13.763168603336801,34.0682708449916,0.05771928483325772
ParadigmScoreFraction,56510,17308,6085,2850,-1.9350319725689022,14.138307371763073,31.897034135422498,0.06109430783470616
