name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,2251,1504,426,282,-2.239970058754053,15.789473684210526,39.83050847457627,-0.0016610468833635527
IsNested,3755,0,708,0,-0.1885486018641811,0.0,0.0,0.0
FractionNestedMethods,3378,377,638,70,-0.7039220775312767,15.659955257270694,9.887005649717514,-0.0018612090738253733
FractionFunctions,2756,999,493,215,-1.5046815169228225,17.71004942339374,30.36723163841808,0.03089139317021811
IsFunction,250,3505,98,610,-5.048503689995261,14.823815309842042,86.15819209039547,-0.09788462637386693
HasFunctionParameters,3539,216,619,89,-0.4017487041759764,29.18032786885246,12.570621468926554,0.0987199633540044
FractionHigherOrderCalls,3667,88,641,67,-0.22380216208896608,43.225806451612904,9.463276836158192,0.1420632434437403
FractionFunctionCalls,36,3719,3,705,-5.248273864602376,15.935804701627488,99.57627118644068,0.02100050545964116
FractionCurrying,3742,13,696,12,-0.19022734282726605,48.0,1.694915254237288,0.06602016211042422
FractionPatternMatching,3549,206,588,120,-0.3329203246894912,36.809815950920246,16.94915254237288,0.16094348623674457
FractionLazyValues,16,3739,7,701,-5.2885636477164155,15.788288288288289,99.01129943502825,-0.02870565699028301
HasMultipleParameterLists,3565,190,622,86,-0.3631376620250213,31.15942028985507,12.146892655367232,0.10749204581806572
FunctionalScoreFraction,3093,662,476,232,-0.9104072159907317,25.95078299776286,32.7683615819209,0.13818579656400268
FractionVariables,2219,1536,424,284,-2.2903322876466032,15.604395604395604,40.11299435028249,-0.005891385406317501
FractionVariableDefinitions,3755,0,708,0,-0.1885486018641811,0.0,0.0,0.0
FractionInnerVariableAssignment,3755,0,706,2,-0.18519111993801118,100.0,0.2824858757062147,0.04876264200233441
FractionOuterVariableUsage,1514,2241,296,412,-3.2589658233466494,15.52958914436487,58.19209039548022,-0.011074256722633858
FractionOuterVariableAssignment,3732,23,686,22,-0.19022734282726605,48.888888888888886,3.1073446327683616,0.09123113846325179
FractionSideEffects,2841,914,441,267,-1.274694004980177,22.60795935647756,37.71186440677966,0.11073649742578939
IsSideEffect,2845,910,442,266,-1.2696577820909223,22.61904761904762,37.570621468926554,0.1105992997514419
FractionSideEffectCalls,269,3486,101,607,-5.021643834585901,14.830197898851699,85.73446327683615,-0.09409478557202394
FractionSideEffectFunctions,749,3006,147,561,-4.29307025660701,15.727502102607232,79.23728813559322,-0.007442047835751137
ImperativeScoreFraction,2793,962,439,269,-1.3519160892820872,21.852152721364746,37.994350282485875,0.10115987310000735
HasPointsFraction,2481,1274,384,324,-1.7833525167949325,20.275344180225282,45.76271186440678,0.09018308121996003
ParadigmScoreFraction,2839,916,446,262,-1.2864451917217723,22.24108658743633,37.005649717514125,0.1045317706142786
