name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,104,941,152,1365,-0.7664340031477388,59.193408499566345,89.98022412656559,-0.0011081389383482462
IsNested,1045,0,1514,3,-1.4468262404077552,100.0,0.1977587343441002,0.028417825245342285
FractionNestedMethods,1045,0,1517,0,-1.4516746411483257,0.0,0.0,0.0
FractionFunctions,149,896,219,1298,-0.8019889419119202,59.16134913400183,85.56361239288069,-0.0024943871057257856
IsFunction,1024,21,1449,68,-1.3757163628793925,76.40449438202246,4.482531311799605,0.06636839351940838
HasFunctionParameters,992,53,1360,157,-1.283596748808559,74.76190476190476,10.349373764007911,0.0945495318428727
FractionHigherOrderCalls,114,931,181,1336,-0.7971405411713499,58.932509925011026,88.06855636123929,-0.01574036969528728
FractionFunctionCalls,24,1021,28,1489,-0.6953241256193761,59.32270916334661,98.1542518127884,0.01571430129181776
FractionCurrying,106,939,158,1359,-0.7728985374684991,59.13838120104439,89.58470665787739,-0.004392864256699567
FractionPatternMatching,214,831,330,1187,-0.8763310866006631,58.820614469772046,78.24653922214898,-0.015321395490702074
FractionLazyValues,1035,10,1476,41,-1.4015745001624333,80.3921568627451,2.7027027027027026,0.06142260756354618
HasMultipleParameterLists,933,112,1073,444,-0.9151182925252246,79.85611510791367,29.268292682926827,0.22115959540327373
FunctionalScoreFraction,782,263,960,557,-0.976531368572447,67.92682926829269,36.71720500988794,0.12167242826793823
FractionVariables,108,937,164,1353,-0.7793630717892592,59.082969432314414,89.1891891891892,-0.007591866296126567
FractionVariableDefinitions,1045,0,1517,0,-1.4516746411483257,0.0,0.0,0.0
FractionInnerVariableAssignment,1045,0,1517,0,-1.4516746411483257,0.0,0.0,0.0
FractionOuterVariableUsage,108,937,164,1353,-0.7793630717892592,59.082969432314414,89.1891891891892,-0.007591866296126567
FractionOuterVariableAssignment,2,1043,4,1513,-0.6920918584589959,59.19405320813772,99.73632168754119,-0.007349835720483697
FractionSideEffects,53,992,92,1425,-0.7518888009260283,58.9573851882499,93.93539881344759,-0.02111562173424893
IsSideEffect,53,992,88,1429,-0.745424266605268,59.02519619991738,94.1990771259064,-0.015713118186348664
FractionSideEffectCalls,10,1035,13,1504,-0.693707992039186,59.23591965340685,99.14304548450889,0.005209344304608088
FractionSideEffectFunctions,1044,1,1509,8,-1.4403617060869949,88.88888888888889,0.5273566249176005,0.0358549352257609
ImperativeScoreFraction,54,991,98,1419,-0.7599694688269785,58.879668049792535,93.5398813447594,-0.026890761218843637
HasPointsFraction,752,293,935,582,-0.9846120364733972,66.51428571428572,38.36519446275544,0.10701879391717176
ParadigmScoreFraction,782,263,953,564,-0.9652184335111165,68.19830713422007,37.17864205669083,0.12625077194289128
