name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
IsNested,115,1030,26,235,-3.9682477538523315,18.57707509881423,90.03831417624522,0.001061178074582293
FractionNestedMethods,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionFunctions,28,1117,12,249,-4.311696698957654,18.22840409956076,95.40229885057471,-0.05033472420933592
IsFunction,9,1136,2,259,-4.354039719587077,18.566308243727597,99.23371647509579,0.000871255571324237
HasFunctionParameters,1071,74,222,39,-0.39261490070103244,34.51327433628318,14.942528735632186,0.12127248246007506
FractionHigherOrderCalls,1133,12,249,12,-0.22794759825327526,50.0,4.597701149425287,0.10654936644171693
FractionFunctionCalls,226,919,58,203,-3.596570128327394,18.092691622103388,77.77777777777779,-0.024057991533963673
FractionCurrying,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionPatternMatching,19,1126,6,255,-4.325811039167462,18.464880521361334,97.70114942528735,-0.018813554092382254
FractionLazyValues,2,1143,0,261,-4.3775636199367565,18.58974358974359,100.0,0.018019758001245986
HasMultipleParameterLists,1037,108,207,54,-0.48200572202981484,33.33333333333333,20.689655172413794,0.1370853710923827
FunctionalScoreFraction,972,173,190,71,-0.707835165386739,29.098360655737704,27.203065134099617,0.12416271696059059
FractionVariables,1024,121,230,31,-0.651377804547508,20.394736842105264,11.877394636015326,0.01639937368665956
FractionVariableDefinitions,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionInnerVariableAssignment,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionOuterVariableUsage,1024,121,230,31,-0.651377804547508,20.394736842105264,11.877394636015326,0.01639937368665956
FractionOuterVariableAssignment,2,1143,0,261,-4.3775636199367565,18.58974358974359,100.0,0.018019758001245986
FractionSideEffects,940,205,175,86,-0.7878164265756498,29.553264604810998,32.95019157088122,0.14440015937200765
IsSideEffect,942,203,176,85,-0.7831116465057137,29.51388888888889,32.56704980842912,0.1429470294991239
FractionSideEffectCalls,16,1129,6,255,-4.339925379377269,18.42485549132948,97.70114942528735,-0.028241984407085037
FractionSideEffectFunctions,117,1028,28,233,-3.9682477538523315,18.477398889770026,89.272030651341,-0.006515314163820757
ImperativeScoreFraction,940,205,174,87,-0.7831116465057137,29.794520547945208,33.33333333333333,0.14788975997042686
HasPointsFraction,852,293,149,112,-1.0795127909116768,27.65432098765432,42.911877394636015,0.14872550427375034
ParadigmScoreFraction,970,175,179,82,-0.6654921447573159,31.906614785992215,31.417624521072796,0.1623052612635173
