name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,1280,0,172,0,-0.13437500000000013,0.0,0.0,0.0
IsNested,128,1152,17,155,-6.709792877906978,11.859219586840092,90.11627906976744,0.0012532824613678268
FractionNestedMethods,1280,0,172,0,-0.13437500000000013,0.0,0.0,0.0
FractionFunctions,148,1132,36,136,-6.703197674418607,10.725552050473187,79.06976744186046,-0.09099869274685307
IsFunction,22,1258,4,168,-7.323146802325583,11.781206171107995,97.67441860465115,-0.014787365691851762
HasFunctionParameters,1081,199,114,58,-1.0642986918604653,22.56809338521401,33.72093023255814,0.15387587571875289
FractionHigherOrderCalls,41,1239,7,165,-7.21762354651163,11.752136752136751,95.93023255813954,-0.015664083498613018
FractionFunctionCalls,30,1250,1,171,-7.2505995639534895,12.03377902885292,99.4186046511628,0.03939894851238197
FractionCurrying,128,1152,17,155,-6.709792877906978,11.859219586840092,90.11627906976744,0.0012532824613678268
FractionPatternMatching,11,1269,3,169,-7.389098837209303,11.752433936022253,98.25581395348837,-0.02926013216130924
FractionLazyValues,1149,131,156,16,-0.8928234011627911,10.884353741496598,9.30232558139535,-0.009984911615904027
HasMultipleParameterLists,802,478,93,79,-2.765861191860466,14.183123877917414,45.93023255813954,0.05706178920705432
FunctionalScoreFraction,742,538,83,89,-3.0956213662790706,14.19457735247209,51.74418604651163,0.06336639391350102
FractionVariables,26,1254,4,168,-7.296765988372094,11.814345991561181,97.67441860465115,-0.006686446468947602
FractionVariableDefinitions,1280,0,172,0,-0.13437500000000013,0.0,0.0,0.0
FractionInnerVariableAssignment,1280,0,172,0,-0.13437500000000013,0.0,0.0,0.0
FractionOuterVariableUsage,26,1254,4,168,-7.296765988372094,11.814345991561181,97.67441860465115,-0.006686446468947602
FractionOuterVariableAssignment,1280,0,172,0,-0.13437500000000013,0.0,0.0,0.0
FractionSideEffects,217,1063,28,144,-6.195367005813955,11.930405965202983,83.72093023255815,0.005816048446281103
IsSideEffect,211,1069,28,144,-6.2349382267441875,11.871393239901073,83.72093023255815,0.001789121668635867
FractionSideEffectCalls,21,1259,2,170,-7.316551598837211,11.896431070678796,98.83720930232558,0.012367060891879314
FractionSideEffectFunctions,1280,0,172,0,-0.13437500000000013,0.0,0.0,0.0
ImperativeScoreFraction,228,1052,27,145,-6.11622456395349,12.11361737677527,84.30232558139535,0.017960838092378816
HasPointsFraction,701,579,85,87,-3.3792151162790702,13.063063063063062,50.58139534883721,0.03467629249262609
ParadigmScoreFraction,766,514,80,92,-2.917550872093024,15.181518151815181,53.48837209302325,0.08736691423398106
