name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
IsNested,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionNestedMethods,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionFunctions,819,277,53,19,-3.8844282238442833,6.418918918918918,26.38888888888889,0.0061660500965604985
IsFunction,8,1088,0,72,-15.103811841038123,6.206896551724138,100.0,0.021285162495541722
HasFunctionParameters,163,933,17,55,-13.061232765612331,5.566801619433198,76.38888888888889,-0.05821179653157589
FractionHigherOrderCalls,558,538,41,31,-7.569951338199516,5.448154657293498,43.05555555555556,-0.02902457592581078
FractionFunctionCalls,10,1086,0,72,-15.074209245742097,6.217616580310881,100.0,0.023818076808908826
FractionCurrying,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionPatternMatching,1002,94,50,22,-1.1313868613138691,18.96551724137931,30.555555555555557,0.17674245169554204
FractionLazyValues,1081,15,60,12,-0.11009732360097346,44.44444444444444,16.666666666666664,0.24484035312117125
HasMultipleParameterLists,912,184,50,22,-2.463503649635037,10.679611650485436,30.555555555555557,0.08687545365426877
FunctionalScoreFraction,791,305,38,34,-4.076845093268452,10.029498525073747,47.22222222222222,0.10276762439052248
FractionVariables,1074,22,59,13,-0.19890510948905127,37.142857142857146,18.055555555555554,0.22638643444897938
FractionVariableDefinitions,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionInnerVariableAssignment,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionOuterVariableUsage,1074,22,59,13,-0.19890510948905127,37.142857142857146,18.055555555555554,0.22638643444897938
FractionOuterVariableAssignment,1093,3,67,5,-0.036090835360908624,62.5,6.944444444444445,0.19452273502870074
FractionSideEffects,948,148,35,37,-1.7086374695863755,20.0,51.388888888888886,0.2495622752564079
IsSideEffect,950,146,35,37,-1.6790348742903496,20.21857923497268,51.388888888888886,0.25187481408873774
FractionSideEffectCalls,1072,24,60,12,-0.2433090024330904,33.33333333333333,16.666666666666664,0.2014522884955787
FractionSideEffectFunctions,3,1093,0,72,-15.177818329278185,6.180257510729613,100.0,0.013006445809404039
ImperativeScoreFraction,944,152,39,33,-1.8270478507704793,17.83783783783784,45.83333333333333,0.2105619089867418
HasPointsFraction,748,348,27,45,-4.550486618004867,11.450381679389313,62.5,0.156510596112484
ParadigmScoreFraction,529,567,42,30,-8.013990267639905,5.025125628140704,41.66666666666667,-0.04843535537095635
