name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,376,3379,71,637,-4.791656322643256,15.861553784860558,89.97175141242938,-0.00018172651311083946
IsNested,3755,0,708,0,-0.1885486018641811,0.0,0.0,0.0
FractionNestedMethods,3378,377,638,70,-0.7039220775312767,15.659955257270694,9.887005649717514,-0.0018612090738253733
FractionFunctions,3333,422,531,177,-0.5998401378200064,29.549248747913186,25.0,0.14748918419029078
IsFunction,3504,251,607,101,-0.4403597463269313,28.693181818181817,14.26553672316384,0.10275658640413117
HasFunctionParameters,3539,216,611,97,-0.3883187764712963,30.990415335463258,13.700564971751412,0.11370932136097855
FractionHigherOrderCalls,3667,88,639,69,-0.22044468016279617,43.94904458598726,9.745762711864407,0.14679010939939197
FractionFunctionCalls,36,3719,3,705,-5.248273864602376,15.935804701627488,99.57627118644068,0.02100050545964116
FractionCurrying,3742,13,696,12,-0.19022734282726605,48.0,1.694915254237288,0.06602016211042422
FractionPatternMatching,3547,208,581,127,-0.32452661987406617,37.91044776119403,17.937853107344633,0.17190995445581872
FractionLazyValues,3739,16,701,7,-0.20365727053194616,30.434782608695656,0.9887005649717515,0.02870565699028301
HasMultipleParameterLists,3564,191,621,87,-0.3631376620250213,31.294964028776977,12.288135593220339,0.1088628051440314
FunctionalScoreFraction,2946,809,387,321,-1.0077741918496619,28.407079646017696,45.33898305084746,0.19991208028076363
FractionVariables,3627,128,651,57,-0.30773921024321615,30.810810810810814,8.050847457627118,0.08507971326635566
FractionVariableDefinitions,3755,0,708,0,-0.1885486018641811,0.0,0.0,0.0
FractionInnerVariableAssignment,3755,0,706,2,-0.18519111993801118,100.0,0.2824858757062147,0.04876264200233441
FractionOuterVariableUsage,3628,127,651,57,-0.3060604692801312,30.978260869565215,8.050847457627118,0.08578998929760737
FractionOuterVariableAssignment,3732,23,686,22,-0.19022734282726605,48.888888888888886,3.1073446327683616,0.09123113846325179
FractionSideEffects,2703,1052,396,312,-1.4308169145470822,22.87390029325513,44.06779661016949,0.12729983797025898
IsSideEffect,2706,1049,398,310,-1.4291381735839974,22.810890360559235,43.78531073446328,0.12582271721014388
FractionSideEffectCalls,3485,270,604,104,-0.4672196017362913,27.807486631016044,14.689265536723164,0.09887171539146127
FractionSideEffectFunctions,3746,9,703,5,-0.19526356571652115,35.714285714285715,0.7062146892655368,0.030479646337198362
ImperativeScoreFraction,2674,1081,395,313,-1.4778216615134623,22.453371592539455,44.2090395480226,0.12156189715963517
HasPointsFraction,2141,1614,242,466,-2.115743227485763,22.403846153846153,65.81920903954803,0.16724680153514002
ParadigmScoreFraction,3021,734,422,286,-0.9406245533262618,28.03921568627451,40.3954802259887,0.18139352211138904
