name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
IsNested,115,1030,26,235,-3.9682477538523315,18.57707509881423,90.03831417624522,0.001061178074582293
FractionNestedMethods,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionFunctions,1117,28,248,13,-0.298519299302314,31.70731707317073,4.980842911877394,0.058588993346883805
IsFunction,455,690,107,154,-2.7497097157389283,18.246445497630333,59.00383141762452,-0.00998677963133404
HasFunctionParameters,1070,75,217,44,-0.3737957804212888,36.97478991596639,16.85823754789272,0.14399103784064812
FractionHigherOrderCalls,1133,12,249,12,-0.22794759825327526,50.0,4.597701149425287,0.10654936644171693
FractionFunctionCalls,1141,4,256,5,-0.22324281818333924,55.55555555555556,1.9157088122605364,0.07636532182628498
FractionCurrying,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionPatternMatching,1015,130,235,26,-0.717244725526611,16.666666666666664,9.961685823754788,-0.017232688111536394
FractionLazyValues,2,1143,0,261,-4.3775636199367565,18.58974358974359,100.0,0.018019758001245986
HasMultipleParameterLists,1036,109,200,61,-0.4537770416101994,35.88235294117647,23.371647509578544,0.16519682083817602
FunctionalScoreFraction,953,192,168,93,-0.6937208251769313,32.631578947368425,35.63218390804598,0.1824411974069042
FractionVariables,1136,9,250,11,-0.21853803811340344,55.00000000000001,4.21455938697318,0.112573130030654
FractionVariableDefinitions,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionInnerVariableAssignment,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionOuterVariableUsage,1136,9,250,11,-0.21853803811340344,55.00000000000001,4.21455938697318,0.112573130030654
FractionOuterVariableAssignment,2,1143,0,261,-4.3775636199367565,18.58974358974359,100.0,0.018019758001245986
FractionSideEffects,928,217,150,111,-0.7266542856664828,33.84146341463415,42.5287356321839,0.2167509511731699
IsSideEffect,930,215,150,111,-0.717244725526611,34.04907975460122,42.5287356321839,0.2188226737201413
FractionSideEffectCalls,1129,16,255,6,-0.27499539895263436,27.27272727272727,2.2988505747126435,0.028241984407085037
FractionSideEffectFunctions,1141,4,259,2,-0.23735715839314708,33.33333333333333,0.7662835249042145,0.024868832789828363
ImperativeScoreFraction,926,219,150,111,-0.7360638458063546,33.63636363636363,42.5287356321839,0.21469141903197564
HasPointsFraction,802,343,102,159,-1.0936271311214845,31.673306772908365,60.91954022988506,0.2512655095211785
ParadigmScoreFraction,985,160,186,75,-0.6278539041978284,31.914893617021278,28.735632183908045,0.15383349529485763
