name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
IsNested,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionNestedMethods,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionFunctions,998,98,52,20,-1.220194647201947,16.94915254237288,27.77777777777778,0.15032406739253068
IsFunction,8,1088,0,72,-15.103811841038123,6.206896551724138,100.0,0.021285162495541722
HasFunctionParameters,1016,80,56,16,-1.0129764801297654,16.666666666666664,22.22222222222222,0.13067522679195281
FractionHigherOrderCalls,1019,77,54,18,-0.9389699918897003,18.947368421052634,25.0,0.15814866626450447
FractionFunctionCalls,10,1086,0,72,-15.074209245742097,6.217616580310881,100.0,0.023818076808908826
FractionCurrying,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionPatternMatching,999,97,48,24,-1.1461881589618823,19.834710743801654,33.33333333333333,0.1932277828967409
FractionLazyValues,1081,15,60,12,-0.11009732360097346,44.44444444444444,16.666666666666664,0.24484035312117125
HasMultipleParameterLists,902,194,38,34,-2.433901054339011,14.912280701754385,47.22222222222222,0.1791341890721519
FunctionalScoreFraction,755,341,17,55,-4.298864557988646,13.88888888888889,76.38888888888889,0.23002812387388752
FractionVariables,1074,22,59,13,-0.19890510948905127,37.142857142857146,18.055555555555554,0.22638643444897938
FractionVariableDefinitions,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionInnerVariableAssignment,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
FractionOuterVariableUsage,1074,22,59,13,-0.19890510948905127,37.142857142857146,18.055555555555554,0.22638643444897938
FractionOuterVariableAssignment,1093,3,67,5,-0.036090835360908624,62.5,6.944444444444445,0.19452273502870074
FractionSideEffects,937,159,29,43,-1.7826439578264401,21.287128712871286,59.72222222222222,0.2875339115811545
IsSideEffect,939,157,29,43,-1.7530413625304142,21.5,59.72222222222222,0.2898343629739133
FractionSideEffectCalls,1072,24,60,12,-0.2433090024330904,33.33333333333333,16.666666666666664,0.2014522884955787
FractionSideEffectFunctions,3,1093,0,72,-15.177818329278185,6.180257510729613,100.0,0.013006445809404039
ImperativeScoreFraction,928,168,27,45,-1.8862530413625311,21.12676056338028,62.5,0.29380557120880874
HasPointsFraction,677,419,11,61,-5.364557988645581,12.708333333333332,84.72222222222221,0.22726767774751694
ParadigmScoreFraction,780,316,23,49,-4.0176399026764,13.424657534246576,68.05555555555556,0.20352276141556044
